,idx,year,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label,doi,labels_gs
134,135,2295,22954836,Studies in health technology and informatics,Assessment of executive functions in patients with obsessive compulsive disorder by NeuroVR.,"Executive functions are often impaired in obsessive-compulsive disorder (OCD). We used a Virtual Reality version of the Multiple Errand Test (VMET) - developed dusing the free NeuroVR software (http://www.neurovr.org) - to evaluate the executive functions in daily life in 10 OCD patients and 10 controls. It is performed in a shopping setting where there are items to be bought and information to be obtained. The execution time for the whole task was higher in patients with OCD compared to controls, suggesting that patients with OCD need more time in planning than controls. The same difference was found in the partial errors during the task. Furthermore, the mean rank for and for interpretation failures is higher for controls, while the values of divided attention and the of self correction seems to be lower in controls. We think that obsessive patients tend to work with greater diligence and observance of rules than controls. In conclusion, these results provide initial support for the feasibility of VMET as assessment tool of executive functions. Specifically, the significant correlation found between the VMET and the neuropsychological battery support the ecological validity of VMET as an instrument for the evaluation of executive functions in patients with OCD.",Remaining,0,0,doi_dummy,human
136,137,3736,37369805,Acta neuropathologica,SMN regulates GEMIN5 expression and acts as a modifier of GEMIN5-mediated neurodegeneration.,"GEMIN5 is essential for core assembly of small nuclear Ribonucleoproteins (snRNPs), the building blocks of spliceosome formation. Loss-of-function mutations in GEMIN5 lead to a neurodevelopmental syndrome among patients presenting with developmental delay, motor dysfunction, and cerebellar atrophy by perturbing SMN complex protein expression and assembly. Currently, molecular determinants of GEMIN5-mediated disease have yet to be explored. Here, we identified SMN as a genetic suppressor of GEMIN5-mediated neurodegeneration in vivo. We discovered that an increase in SMN expression by either SMN gene therapy replacement or the antisense oligonucleotide (ASO), Nusinersen, significantly upregulated the endogenous levels of GEMIN5 in mammalian cells and mutant GEMIN5-derived iPSC neurons. Further, we identified a strong functional association between the expression patterns of SMN and GEMIN5 in patient Spinal Muscular Atrophy (SMA)-derived motor neurons harboring loss-of-function mutations in the SMN gene. Interestingly, SMN binds to the C-terminus of GEMIN5 and requires the Tudor domain for GEMIN5 binding and expression regulation. Finally, we show that SMN upregulation ameliorates defective snRNP biogenesis and alternative splicing defects caused by loss of GEMIN5 in iPSC neurons and in vivo. Collectively, these studies indicate that SMN acts as a regulator of GEMIN5 expression and neuropathologies.",Remaining,0,0,doi_dummy,human
140,141,1511,15118119,Radiology,Carotid perfusion CT with balloon occlusion and acetazolamide challenge test: feasibility.,"Carotid balloon test occlusion (BTO) is used to assess the collateral circulation and cerebrovascular reserve in patients in whom carotid artery occlusion is contemplated. Eight patients in whom the test was successful were evaluated with perfusion computed tomography (CT) in the resting state and after acetazolamide challenge. Three of the patients showed symmetric blood flow and normal response to acetazolamide. One of them underwent permanent carotid occlusion and did not develop any delayed ischemic stroke. The remaining five patients showed asymmetric blood flow. One of them had markedly low blood flow and abnormal response to acetazolamide. The patient developed ipsilateral hemispheric stroke following permanent carotid occlusion after the superficial temporal artery to middle cerebral artery bypass graft occluded. In the other four patients, the steal phenomenon was seen in ipsilateral and contralateral hemispheres. Although definitive quantitative values for perfusion CT are not yet standardized, it may be feasible to predict that the patients with symmetric blood flow and normal acetazolamide-enhanced challenge test results will do well after permanent carotid occlusion. Patients with asymmetric blood flow and abnormal response to the acetazolamide challenge test may require a revascularization procedure to protect them from delayed ischemic stroke.",Remaining,0,0,doi_dummy,human
149,150,2903,29039020,Molecular neurobiology,Systemic Inflammation and Multimodal Biomarkers in Amnestic Mild Cognitive Impairment and Alzheimer's Disease.,"There is increasing evidence suggesting that one of the most relevant pathophysiological features of Alzheimer's disease (AD) is neuroinflammation, which plays an important role in the production and regulation of AD-related proteins (amyloid beta (Aβ) and Tau) and exacerbates AD pathology. Neuroinflammation can also be induced by systemic influences (factors from outside the central nervous system). However, the role of systemic inflammation in AD pathophysiology is much less understood. Thus, our main objective in this study was to verify whether the presence of serum cytokines (IL-1β, IL-6, IL-10, IL-12, and TNF-α) affects different AD biomarkers: Aβ1-42 and Tau protein levels, hippocampal volumes (HV), and default mode network functional connectivity (DMN FC) in healthy elderly controls, amnestic mild cognitive impairment (aMCI) patients due to AD, and mild AD patients. To accomplish this, we acquired 3-T MRI, blood, and cerebrospinal fluid (CSF) samples from 42 healthy controls, 55 aMCI patients due to AD, and 33 mild AD patients. Comparing the groups, we found that the mild AD patients presented smaller HV, disrupted DMN FC, and proportionally less IL-1β than the controls. The aMCI patients only differed from the controls in DMN FC. In intra-group comparison, aMCI and mild AD with detectable levels of cytokines (TNF-α, IL-1β, IL-10, and IL-12) had decreased DMN FC. On the other hand, patients with detectable levels of IL-10 and IL-12 presented a more favorable AD biomarkers profile (larger HV, more CSF Aβ1-42, and less p-Tau), indicating a possible protective role of these ILs. Our findings indicate a possible relationship between systemic inflammation with DMN FC disruption, hippocampal atrophy, and CSF protein levels in the subjects with mild AD and aMCI.",Remaining,0,0,doi_dummy,human
152,153,2362,23629739,Family practice,Home blood pressure monitoring in hypertensive stroke patients: a prospective cohort study following a randomized controlled trial.,"We found little data on long-term home blood pressure monitoring in stroke patients.	After completing a 12-month trial of home monitoring in hypertensive stroke patients, we investigated the following: 1. The proportion of 118 control patients offered a monitor at the end of the trial without nurse support who used it at least monthly after 6 months. 2. The proportion of 119 intervention patients continuing to use their monitor monthly after 18 months. 3. Possible predictors of monitoring weekly in the first month after receiving a monitor: age, gender, ethnicity, cognition, anxiety, disability, ability to monitor blood pressure unaided and smoking.	Participants (mean age 71, 34% with disability and 21% from ethnic minorities) were surveyed 1 and/or 6 months after the trial ended by postal and/or telephone questionnaire.	Of 237 potential participants, 53 (22%) declined, 16 (6%) were lost and 9 (4%) died during follow-up. Overall, reported monthly use of the monitor without nurse support was 47% [54/114, 95% confidence interval (CI) 38.2-56.5] at 6 months and 50% (57/114, 95% CI 40.8-59.2) at 18 months. Participants who monitored weekly after 1 month were more likely than the remainder to have no disability [Rankin score ≤ 1; relative risk (RR) 1.2; 95% CI 1.0-1.5] and low anxiety levels (FEAR score = 0; RR 1.5; 95% CI 1.1-2.0).	Around half of hypertensive stroke patients offered a blood pressure monitor but no support continued to use it after 6 and 18 months. Monitoring in the first month was common in those who were not anxious or disabled.",Remaining,0,0,doi_dummy,human
153,154,2842,28428190,Clinical cancer research : an official journal of the American Association for Cancer Research,In Vivo Detection of EGFRvIII in Glioblastoma via Perfusion Magnetic Resonance Imaging Signature Consistent with Deep Peritumoral Infiltration: The φ-Index.,"Purpose: The epidermal growth factor receptor variant III (EGFRvIII) mutation has been considered a driver mutation and therapeutic target in glioblastoma, the most common and aggressive brain cancer. Currently, detecting EGFRvIII requires postoperative tissue analyses, which are ex vivo and unable to capture the tumor's spatial heterogeneity. Considering the increasing evidence of in vivo imaging signatures capturing molecular characteristics of cancer, this study aims to detect EGFRvIII in primary glioblastoma noninvasively, using routine clinically acquired imaging.Experimental Design: We found peritumoral infiltration and vascularization patterns being related to EGFRvIII status. We therefore constructed a quantitative within-patient peritumoral heterogeneity index (PHI/φ-index), by contrasting perfusion patterns of immediate and distant peritumoral edema. Application of φ-index in preoperative perfusion scans of independent discovery (n = 64) and validation (n = 78) cohorts, revealed the generalizability of this EGFRvIII imaging signature.Results: Analysis in both cohorts demonstrated that the obtained signature is highly accurate (89.92%), specific (92.35%), and sensitive (83.77%), with significantly distinctive ability (P = 4.0033 × 10[-10], AUC = 0.8869). Findings indicated a highly infiltrative-migratory phenotype for EGFRvIII[+] tumors, which displayed similar perfusion patterns throughout peritumoral edema. Contrarily, EGFRvIII[-] tumors displayed perfusion dynamics consistent with peritumorally confined vascularization, suggesting potential benefit from extensive peritumoral resection/radiation.Conclusions: This EGFRvIII signature is potentially suitable for clinical translation, since obtained from analysis of clinically acquired images. Use of within-patient heterogeneity measures, rather than population-based associations, renders φ-index potentially resistant to inter-scanner variations. Overall, our findings enable noninvasive evaluation of EGFRvIII for patient selection for targeted therapy, stratification into clinical trials, personalized treatment planning, and potentially treatment-response evaluation. Clin Cancer Res; 23(16); 4724-34. ©2017 AACR.",Remaining,0,0,doi_dummy,human
155,156,1654,16546355,Schizophrenia research,The influence of religious affiliation on time to first treatment and hospitalization.,"Longer duration of untreated psychosis (DUP) has been associated with treatment-refractory illness, significant cognitive decline, and poorer long-term outcomes. There are many factors, including social and cultural, that promote longer DUP. To date, there have been no studies to evaluate religion's effect on DUP. In this study, we evaluated the effect of certain religious affiliations and degree of religious practice on the DUP.	A total of 195 patients were recruited aged 18 to 45 years with the presence of at least 1 psychotic symptom (delusions, hallucinations, or prominent thought disorder). Patients were evaluated on their religious practice prior to the index episode using a Likert-style scale. Using a similar scale, patients were asked about their religious affiliation categorized as Catholic, Protestant, or neither.	Correlational analysis revealed that the time to first treatment and time to first hospitalization were both was negatively related to degree of religious practice (r = -0.15, N = 161, p < 0.05 and r = -0.18, N = 161, p < 0.05, respectively). Between-group comparisons revealed longer DUP in the Protestant group compared to the no affiliation and Catholic groups (p = 0.05).	From our results, it appears that the degree of religious practice does not affect length of time to treatment in psychotic patients. However, having a Protestant religious affiliation is strongly associated with having a greater delay in treatment seeking for psychosis. Factors contributing to a longer DUP in this group warrant further study.",Remaining,0,0,doi_dummy,human
156,157,2956,2956306,Journal of affective disorders,Clinical variables and hypothalamic-pituitary-adrenal function in depression. The importance of mood reactivity.,"Forty outpatients with major depressive disorder were studied with the 1 mg DST and the Afternoon Cortisol Test. No relationship was found between hypothalamic-pituitary-adrenal (HPA) axis function and Research Diagnostic Criteria subtypes of depression, with the exception of higher log post-dexamethasone cortisol levels in endogenous depressives. Patients with mood reactivity had lower cortisol values on all assessments. The data suggest that the presence of mood reactivity may be useful as a predictor of normal HPA function in depression.",Remaining,0,0,doi_dummy,human
159,160,3313,33130675,Neuropsychobiology,Temperament Profiles of Children and Adolescents with Psychotic and Mood Disorders.,"Psychiatric disorders are often linked to dysfunctions within neurotransmitter systems, and the same systems play a role in healthy temperaments. Development of a common bio-behavioural taxonomy based on functionality of neurotransmitter systems suggests examining temperament profiles in patients with various psychiatric disorders.	(1) To investigate temperament profiles in two age groups of children with delusional disorders; (2) to investigate temperament profiles in adolescents with mood disorders; (3) to investigate temperament profiles in in vitro fertilisation (IVF) children.	Sample: in total 171 participants (M/F = 91/80), healthy children and teenagers (volunteers); two age groups of children with psychotic disorders; teens with mood disorders (clients of the Federal Mental Health Center) and healthy IVF. Parents of participants completed a test based on the neurochemical model Functional Ensemble of Temperament (FET).	(1) Both age groups of children with psychotic disorders had significantly lower scores on the scales of physical endurance, tempo, plasticity, and self-satisfaction, in comparison to healthy controls; the psychotic group aged 5-11 had also lower scores on the impulsivity scale, whereas the psychotic group 12-17 had lower scores on the social endurance and social tempo scales and higher neuroticism. (2) Teens with mood disorders had lower scores on the self-confidence-satisfaction scale and higher scores on the impulsivity scale, in comparison to controls. (3) No difference between IVF and naturally conceived children were found. The results show the benefits of using the FET framework for structuring the correspondence between psychiatric disorders and temperament as it differentiates between social versus physical aspects of behaviour and orientational versus executive aspects.",Remaining,0,0,doi_dummy,human
160,161,7625,7625228,Acta medica portuguesa,[An analysis of plasma histaminase in schizophrenic patients and its relationship to clinical parameters].,"Previous studies have investigated putative alterations in histamine and histamine receptors in schizophrenia, and evidence in favour of the role of this amine as a neurotransmitter or as a neuromodulator was found. In the present study the activity of plasmatic histaminase was analysed, with histamine and with cadaverine as substrates, in a group of 23 schizophrenic patients and compared with that of healthy controls (n = 32). Plasma histaminase activity was determined using Gordon and Peters spectrophotometric method, and the results were expressed in mumoles of H2O2 transformed/hour/litre of plasma at 25 degrees C. Plasmatic histaminase, using histamine as substrate, was significantly increased in schizophrenic patients as a whole compared with the healthy controls. On the other hand, when cadaverine was used as substrate plasma histaminase was significantly reduced in female schizophrenics but not in males. When patients were divided according to 17 clinical characteristics it was found that the following subgroups were significantly associated to high levels of plasma histaminase (using histamine as substrate): the non mentally deteriorated schizophrenic patients compared with mentally deteriorated schizophrenic patients and those with thymic symptoms as opposed to those without thymic symptoms. An extension of this series and a prospective analysis are required to further define the clinical and biological significance of the alteration of this biochemical parameter in schizophrenia, and particularly in relation with a subgroup of schizophrenia with a more favourable course.",Remaining,0,0,doi_dummy,human
163,164,2086,20860567,Psychogeriatrics : the official journal of the Japanese Psychogeriatric Society,Characteristics of exploratory eye movements in elderly people: possibility of early diagnosis of dementia.,"Visual cognitive dysfunction is one of the most important signs indicating the early stage of dementia. Thus, visual testing could be used as an aid to the clinical diagnosis of dementia. In the present study, exploratory eye movement was measured to evaluate visual cognitive function in elderly subjects, including those with dementia.	We analyzed responsive search scores (RSS) from exploratory eye movements of 300 subjects who were examined with an eye mark recorder while viewing S shaped figures. Subjects were divided into three groups (dementia, intermediate, healthy) from the values of the Revised Hasegawa Dementia Scale (HDS-R), the Mini-Mental State Examination (MMSE) and the Clinical Dementia Rating. We further divided the intermediate groups into two subgroups, the high score and low score groups, based on RSS. In 202 subjects, Z-scores of voxel-based specific regional analysis system for Alzheimer's disease (VSRAD) were obtained from magnetic resonance imaging (MRI).	RSS of the dementia group were significantly lower than those in the intermediate and healthy groups, in order: dementia < intermediate < healthy groups. RSS of the low score intermediate group was significantly lower than that of the high score intermediate group. There was no significant difference between the low score intermediate and dementia groups, or between the high score intermediate and healthy groups. No significant differences of either HSD-R or MMSE were observed between the low score and the high score intermediate groups. The Z-score of VSRAD using MRI in the low score intermediate group was significantly higher than that in the high score intermediate group.	These findings suggest that RSS using an eye mark recorder is a useful psychophysiological marker to evaluate the early stage of dementia as well as at-risk elderly people.",Remaining,0,0,doi_dummy,human
164,165,1475,14757298,General hospital psychiatry,Psychiatric comorbidity and inpatient treatment history in bulimic subjects.,"Bulimia nervosa (BN) is often associated with other forms of psychopathology. There is a need to clarify which specific factors of psychopathology are linked with the referral to psychiatric or psychotherapeutic inpatient treatment. This study examined which factors of psychopathology are linked with the referral of BN patients to inpatient treatment while controlling for history of suicide attempts and history of underweight. 126 females with a current diagnosis of BN purging type were assessed with the Structured Clinical Interview for DSM-IV and interviewed about their history of treatment for the BN, history of weight, and history of suicide attempts. Logistic regressions were conducted to examine whether psychiatric comorbidity, suicide attempts, and underweight were associated with inpatient treatment history. Axis I comorbidity in general, but no specific axis I disorder, was associated with inpatient history. Axes II comorbidity, especially Cluster B disorders and to a lesser degree depressive/negativistic personality disorders, was associated with a history of inpatient treatment. History of suicide attempts was also linked with inpatient experience, but history of underweight was not. The results showed that BN patients with specific types of comorbidity are more likely to be hospitalized than others.",Remaining,0,0,doi_dummy,human
