text,NUM_LABEL_BINARY,NUM_LABEL_MULTI
journal of clinical child and adolescent psychology  the official journal for the society of clinical child and adolescent psychology american psychological association division 53 the cognitive content of thoughtlisted worry episodes in clinicreferred anxious and nonreferred children we investigated the cognitive content of worry in 8 to 13yearold clinicreferred anxious n  38 and nonreferred n  51 children the children were interviewed individually they thoughtlisted their latest worry episodes rated the uncontrollability of the episodes and reported on the strategies they used to terminate worry content analyses showed that childrens worry episodes contained predominantly thoughts reflecting negative outcome anticipation but other types of thought content also were present these included problemsolving ruminating and selfblaming thoughts compared to clinicreferred children nonreferred children reported more problem solving and less ruminating in the nonreferred group increasing age was associated with more problem solving and less ruminating no such agerelated associations were found in the clinicreferred group the 2 groups did not differ in the types of worrytermination strategies they reported but clinicreferred children were more likely to keep worrying until the perceived threat was removed the results suggest that the problemsolving function of worry is still emerging during late childhood and that developmental delays in problem solving may be associated with excessive and uncontrollable worrying,0,0
preventive medicine delivering prevention for alcohol and cannabis using the internet a cluster randomised controlled trial to establish the efficacy of an internet based prevention program to reduce alcohol and cannabis use in adolescents	a cluster randomised controlled trial was conducted with 764 13year olds from ten australian secondary schools in 20072008 half the schools were randomly allocated to the computerised prevention program n397 and half to their usual health classes n367 the climate schools alcohol and cannabis prevention course is facilitated by the internet and consists of novel evidencebased curriculum consistent lessons aimed at reducing alcohol and cannabis use participants were assessed at baseline immediately post and at six months following the intervention	compared to the control group students in the intervention group showed significant improvements in alcohol and cannabis knowledge at the end of the course and the six month followup in addition the intervention group showed a reduction in average weekly alcohol consumption and frequency of cannabis use at the six month followup no differences between groups were found on alcohol expectancies cannabis attitudes or alcohol and cannabis related harms	the course is acceptable scalable and fidelity is assured it increased knowledge regarding alcohol and cannabis and decreased use of these drugs,0,9
journal of child and adolescent psychopharmacology the treatment of psychogenic polydipsia with risperidone in two children diagnosed with schizophrenia polydipsia is a wellknown phenomenon in adult psychiatry but the literature regarding children is very limited just as the pathogenesis remains poorly understood so does its management remain a clinical challenge data regarding the effect of risperidone on polydipsia are contradictory we present case studies of remission of severe polydipsia with risperidone in two children,0,3
annals of internal medicine hepatitis c virus testing of persons born during 19451965 recommendations from the centers for disease control and prevention the centers for disease control and prevention cdc and a group of governmental and private sector partners developed these evidencebased recommendations to increase the proportion of hepatitis c virus hcvinfected persons who know their status and are linked to appropriate care and treatment the recommendations also address brief alcohol screening as alcohol accelerates progression of liver disease among hcvinfected individuals these recommendations augment cdcs 1998 and 1999 recommendations based on risk and medical indications and are not meant to replace those recommendations	these recommendations are based on systematic reviews of evidence published from 1995 through february 2012 in medline embase cinahl the cochrane central register of controlled trials sociological abstracts and database of abstracts of reviews of effects selected studies included crosssectional and cohort studies that addressed either prevalence of hepatitis c in the united states or clinical outcomes for example hepatocellular carcinoma and serious adverse events among treated patients and systematic reviews of trials that assessed effectiveness of brief screening interventions for alcohol consumption the grading of recommendations assessment development and evaluation framework was used to assess quality of the evidence recommendation 1 adults born during 19451965 should receive 1time testing for hcv without prior ascertainment of hcv risk grade strong recommendation moderatequality evidence recommendation 2 all persons with identified hcv infection should receive a brief alcohol screening and intervention as clinically indicated followed by referral to appropriate care and treatment services for hcv infection and related conditions grade strong recommendation moderatequality evidence,0,0
the psychiatric clinics of north america understanding and treating trichotillomania what we know and what we dont know this article reviews current issues in the understanding and clinical management of trichotillomania ttm after diagnostic considerations and epidemiology are discussed a brief update on biologic and environmental precipitants is provided and emerging research on possible ttm subtypes is discussed current strategies for assessing ttm and t heir applicability to clinical practice are reviewed as is the current state of pharmacologic and nonpharmacologic treatments for the disorder the article concludes with suggestions for future research and descriptions of the authorsresearch agenda,0,1
substance abuse treatment prevention and policy perceptions of pakistani medical students about drugs and alcohol a questionnairebased survey drug abuse is hazardous and known to be prevalent among young adults warranting efforts to increase awareness about harmful effects and to change attitudes this study was conducted to assess the perceptions of a group of medical students from pakistan a predominantly muslim country regarding four drugs namely heroin charas benzodiazepines and alcohol	in total 174 selfreported questionnaires were received 87 response rate the most commonly cited reasons for why some students take these drugs were peer pressure 96 academic stress 90 and curiosity 88 the most commonly cited justifiable reason was to go to sleep 34 according to 77 living in the college male hostel predisposed one to using these drugs sixty percent of students said that the drugs did not improve exam performance while 54 said they alleviated stress seventyeight percent said they did not intend to ever take drugs in the future females and dayscholars were more willing to discourage a friend who took drugs morality 78 religion 76 and harmful effects of drugs 57 were the most common deterrents against drug intake five suggestions to decrease drug abuse included better counseling facilities 78 and more recreational facilities 60	efforts need to be made to increase student awareness regarding effects and side effects of drugs our findings suggest that educating students about the adverse effects as well as the moral and religious implications of drug abuse is more likely to have a positive impact than increased policing proper studentcounseling facilities and healthier avenues for recreation are also required,0,0
journal of neurosurgery pediatrics pulloutproofing external ventricular drains the authors describe a method of securing an external ventricular drain evd to prevent dislodgement and discourage csf leakage and infection	the evd is secured using a single permanent suture creating a box stitch around the exit site attached to a modified roman sandal multiple knots are tied after each loop to avoid telescoping loosening and pullout	in 12 years of highvolume pediatric practice by one of the authors only one drain has broken and none have pulled out	the modified roman sandal technique tightly secures evds against pullout anecdotal evidence suggests that the strength of the suture construct securing the drain is greater than that of the drain tubing itself,0,2
journal of neurosurgery transsylvian hippocampal transection for mesial temporal lobe epilepsy surgical indications procedure and postoperative seizure and memory outcomes amygdalohippocampectomy is a wellestablished standard surgery for medically intractable mesial temporal lobe epilepsy mtle however in the case of mtle without hippocampal atrophy or sclerosis amygdalohippocampectomy is associated with decreased postoperative memory function hippocampal transection ht has been developed to overcome this problem in ht the hippocampus is not removed rather the longitudinal hippocampal circuits of epileptic activities are disrupted by transection of the pyramidal layer of the hippocampus the present study describes a less invasive modification of ht transsylvian ht and presents the seizure and memory outcomes for this procedure	thirtyseven patients with mtle 18 men and 19 women age range 963 years 19 with surgery on the right side and 18 with surgery on the left side seizure onset from 3 to 34 years who were treated with transsylvian ht were retrospectively analyzed all patients had leftside language dominance and followup periods ranged from 12 to 94 months median 49 months seizure outcomes were evaluated for all patients by using the engel classification memory function was evaluated for 22 patients based on 3 indices verbal memory nonverbal memory and delayed recall with those scores obtained using the wechsler memory scalerevised patients underwent evaluation of the memory function before and after surgery 6 months1 year	engel class i completely seizure free was achieved in 25 patients 676 class ii and class iii designation was achieved in 10 27 and 2 patients 54 respectively there were differences in memory outcome between the sides of operation on the right side verbal memory significantly increased postoperatively p  0003 but nonverbal memory and delayed recall showed no significant change after the operation p  0718 and p  0210 respectively on the left side all 3 indices verbal memory nonverbal memory and delayed recall showed no significant change p  0331 p  0458 and p  0366 respectively	favorable seizure outcome and preservation of verbal memory were achieved with transsylvian ht for the treatment of mtle without hippocampal atrophy or sclerosis,0,2
european neuropsychopharmacology  the journal of the european college of neuropsychopharmacology genetics of emergent suicidality during antidepressive treatmentdata from a naturalistic study on a large sample of inpatients with a major depressive episode factors contributing to treatmentemergent suicidal ideation tesi using antidepressants have been in the focus of recent research strategies we investigated previously established clinical predictors of tesi and combined these with several polymorphisms of candidate genes in patients with major depressive disorder common polymorphisms involved in the tryptophan hydroxylase 1 tph1 and 2 tph2 serotonin transporter monoamine oxidase a maoa and brainderived neurotrophic factor bdnf were investigated in a naturalistic inpatient study of the german research network on depression we compared patients showing tesi with nontesi suicidal patients and with nonsuicidal patients using univariate tests to detect relevant factors which were further tested in logistic regression and cart classification and regression trees analyses of the 269 patients tesi occurred in 22 patients 17 female 117 patients were defined as nontesi suicidal patients and 130 patients were classified as nonsuicidal when comparing cases with both control groups we found the tph2 rs1386494 ct polymorphism to be moderately associated with tesi univariate tests tesi vs nonsuicidality p0005 adjusted p009 tesi vs nontesi suicidal patients p00024 adjusted p0086 this polymorphism remained the only significant genetic factor in addition to clinical predictors in logistic regression and cart analyses cart analyses suggested interactions with several clinical predictors haplotype analyses further supported a contribution of this polymorphism in tesi the tph2 rs1386494 ct polymorphism might contribute to the genetic background of tesi this polymorphism has been previously associated with committed suicide and major depressive disorder the small number of cases warrants replication in larger patient samples lack of a placebo control group hampers definite conclusions on an association with antidepressive treatment,0,3
journal of intellectual disability research  jidr teaching picturetoobject relations in picturebased requesting by children with autism a comparison between error prevention and error correction teaching procedures children who have a combination of language and developmental disabilities with autism often experience major difficulties in learning relations between objects and their graphic representations therefore they would benefit from teaching procedures that minimize their difficulties in acquiring these relations this study compared two teaching procedures an error prevention procedure and an error correction procedure for teaching relations between objects and pictures	participants were two groups of children with autism aged between 3 and 7 years in the context of picturetoobject requesting one group was taught using an error correction method and the other group with an error prevention method the measures for each child were accuracy of correspondences between taught picture and object pairs and accuracy of delayed correspondences in learning outcome tests with all combinations of object and picture pairs presented to them throughout the study	the group receiving the error preventionbased teaching made significantly fewer errors during the teaching phases and in their learning outcome test for correspondences between all combinations of pictures and objects	the error prevention teaching procedure would seem to provide a more efficient and ecologically valid method than the error correction procedure for teaching relations between objects and their graphicbased referents improvements in the methodology were suggested for providing a stronger basis for comparison between error correction and error prevention teaching methods,0,2
turk psikiyatri dergisi  turkish journal of psychiatry psychometric properties of the turkish working alliance inventoryshort form this study aimed to build and examine the turkish working alliance inventory wai short form which was originally developed by horvath and greenberg 1989 based on bordins pantheoretical conceptualization of therapeutic alliance	the hacettepe university psychotherapy research laboratory data set which included the masterss or doctoral level clinical psychology practitioners patient pairs 83 sessions from 58 therapist and 83 patient short forms eg therapistclient versions that were built based on tracey and kokotovics 1989 and hatcher and gillaspys 2006 studies were analyzed with confirmatory factor analysis approach during these analyses the wai measurements from the third sessions were based	confirmatory factor analysis results showed that the short forms which were suggested in the aforementioned literature had good fit for both therapist and patient sample correlations between original turkish forms and subscales internal consistency levels and fit indices were reviewed together to reach a final decision the short form which was suggested by tracey and kokotovic showed more appropriate statistical results the final forms cronbach alphas levels were 090 and 086 for therapist and patient forms respectively	considering consistency with the observer form items soygt and ulu 2009 addition to intercorrelations internal consistency levels and fit indices the waishort forms were built    for therapist and patient our findings suggested that the waishort forms for therapist and patient have acceptable levels of reliability and validity for clinical and research settings in turkey,0,0
neurology india tale of two diseases amyotrophic lateral sclerosis and frontotemporal dementia amyotrophic lateral sclerosis als and frontotemporal dementia ftd were independently described in clinical and pathological details more than a century ago recent breakthrough discoveries identifying common genes that are causal to either als or ftd or an overlapping alsftd syndrome have dramatically transformed our view regarding their pathogenesis most recently a massive hexanucleotide ggggcc repeat expansion mutation in c9orf72 gene has been linked to the majority of familial als ftd and mixed alsftd cases c9orf72 and other genes causal to als and ftd are consistently associated with the formation of cellular rna inclusions and protein aggregates this article summarizes the recently reported alsftdlinked genes and the emerging common unifying mechanism in the pathogenesis of alsftd spectrum disorders along with a comment on the potential new therapeutic targets in these hitherto incurable diseases,0,1
brain behavior and immunity differential binding of antibodies in pandas patients to cholinergic interneurons in the striatum pediatric autoimmune neuropsychiatric disorder associated with streptococcus or pandas is a syndrome of acute childhood onset of obsessivecompulsive disorder and other neuropsychiatric symptoms in the aftermath of an infection with group a betahemolytic streptococcus gabhs its pathophysiology remains unclear pandas has been proposed to result from crossreactivity of antibodies raised against gabhs with brain antigens but the targets of these antibodies are unclear and may be heterogeneous we developed an in vivo assay in mice to characterize the cellular targets of antibodies in serum from individuals with pandas we focus on striatal interneurons which have been implicated in the pathogenesis of tic disorders sera from children with wellcharacterized pandas n  5 from a previously described clinical trial nct01281969 and matched controls were infused into the striatum of mice antibody binding to interneurons was characterized using immunofluorescence and confocal microscopy antibodies from children with pandas bound to 80 of cholinergic interneurons significantly higher than the 50 binding seen with matched healthy controls there was no elevated binding to two different populations of gabaergic interneurons pv and nnospositive confirming the specificity of this phenomenon elevated binding to cholinergic interneurons resolved in parallel with symptom improvement after treatment with intravenous immunoglobulin antibodymediated dysregulation of striatal cholinergic interneurons may be a locus of pathology in pandas future clarification of the functional consequences of this specific binding may identify new opportunities for intervention in children with this condition,1,5
the american journal of orthopsychiatry use of patient and hospital variables in interpreting patient satisfaction data for performance improvement purposes satisfaction scores of 349 patients being discharged from a state psychiatric hospital were examined in relation to available norms for the instrument used and selected patient and hospital variables mean item scores fell within the lessthansatisfied category on both total and factor scores regression analyses indicated minimal effects of patient attributes two hospital factors restraint rate on patients unit and accessibility of psychosocial groups significantly predicted satisfaction with the former having an unexpected positive relationship to satisfaction clinicians were able to use the survey data to improve care but patients tendency toward undifferentiated positive or negative responding hindered the prioritizing of change efforts,0,0
journal of neural transmission vienna austria  1996 time processing in children and adults with adhd a timeprocessing deficit has been proposed as a neuropsychological candidate endophenotype for attention deficit hyperactivity disorder adhd but its developmental trajectory still needs to be explored in the present study children n  33 and adults n  22 with adhd were compared to normal controls on two timeprocessing tasks for time reproduction adhdrelated impairment was found in the full group but not when adults were analyzed separately for the discrimination of brief intervals children and adults with adhd showed different patterns of deficit we conclude that in adhd some timeprocessing deficits are still present in adults but may take on agerelated different forms,0,0
seishin shinkeigaku zasshi  psychiatria et neurologia japonica a study of neuroleptic malignant syndrome in the presenium and senium recently with the increase in elderly population we have had more opportunities to administer neuroleptics to elderly patients for hallucinatory delusional state delirium psychomotor excitement wandering etc however little is known about the characteristics of the neuroleptic malignant syndrome nms in elderly patients which is the most serious side effect of neuroleptics in this paper we present the clinical course of five nms patients in the presenium and senium case 1 was 72yearold male who was diagnosed as having dementia of alzheimers type with late onset he showed nocturnal wandering insomnia and irritability tiapride 60 mg per day had been administered previously just after the addition of oxypertine 10 mg per day nms occurred and he died of pneumonia a week later case 2 was 75yearold male who was diagnosed as having vascular dementia he showed insomnia hyperactivity and wandering he had been given levomepromazine lpz 10 mg per day over a long period of time at first he had daily episodic fever however serum cpk levels did not increase at that time a month later all the symptoms of nms appeared and then the patients condition suddenly deteriorated and he died three days later case 3 was a 64yearold male who was diagnosed as having dementia of alzheimers type with early onset he showed insomnia irritability and violence tiapride 50125 mg per day was administered along with oxypertine 50115 mg per day almost two months later nms occurred he had daily episodic fever at first extrapyramidal symptoms and autonomic instabilities gradually increased soon after symptoms of nms were completed in this case nms seemed to be induced by bacterial pneumonia after long term administration of lpz 5 mg per day case 4 was a 75yearold female who was diagnosed as having dementia of alzheimers type with late onset she showed hallucinatory delusional state although she had autonomic instabilities just after adminstration of haloperidol 12 mg per day nms itself occurred after discontinuing the neuroleptic case 5 was a 61yearold female who was diagnosed as having schizophrenia at the age of forty she was given various neuroleptics over a period of time the neuroimaging in spect showed her cerebral cortex was generally hypoactive she had a tendency to have autonomic instabilities after the administration of relatively high potential neuroleptics risperidone 36 mg per day was administered and almost a month later autonomic instabilities increased and she was diagnosed as having nms all the patients would be able to have brain dysfunction which suggested that such patients may be liable to nms in our patients nms occurred after the additional administration of oxypertine 10 mg per day or after long time administration of lpz 5 mg per day it was suggested that nms could occur after the administration of low dose and relatively low potential neuroleptics in elderly patients our 3 of 5 patients showed the delayed type of nms which might be relatively more frequent in senior and presenior patients than in younger patients in case 3 nms was induced by the somatic disease bacterial pneumonia however in other cases nms was not always induced by somatic disease our 4 of 5 patients experienced some of the symptoms of nmsepisodic fever extrapyramidal symptoms and autonomic instabilitiesbefore the onset of nms such symptoms may be presteps to nms once nms occurred the patients systemic condition tended to deteriorate acutely due to the fact that our 2 of 5 patients died it was suggested that the prognosis of the nms patients in presenium and senium tends to be much worse it is important to find the presteps to nms and treat them as soon as possible for better prognosis,0,0
clinical pharmacology and therapeutics pharmacodynamics of midodrine an antihypotensive agent midodrine is an orally active adrenergic agonist useful in the treatment of hypotension we have investigated the pharmacodynamics of its active metabolite after oral midodrine therapy in nine patients with severe orthostatic hypotension peak plasma levels of the metabolite were reached in 60 to 90 minutes and ranged from 25 to 56 ngml the mean values for distribution volume plasma clearance and t12 were 40 lkg 23 mlminkg and 21 hours respectively heart rate increased after 5 to 10 mg doses and the increases were statistically significant p less than 005 at 120 minutes an apparent increase in blood pressure was not statistically significant the patients said that they felt better,0,3
