idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
20,24072057,Medicina,[Environmental toxic and its effect on neurodevelopment].,"Neurodevelopmental disorders are the result of a disturbance of brain function. They are frequent, with varied symptomatology, manifest themselves at different times of life and tend to be persistent with impact at the individual, family and social level. The association of these disorders with genetic entities is low. Although the research supports a mode of genetic inheritance, epigenetic factors and environmental factors can play an important role. In recent years there was a striking increase of these disorders especially attention deficit hyperactivity disorders and pervasive development disorder. Environmental factors such as the intoxication of the fetus by especially heavy metals lead and mercury are to blame in some children, of these disorders. Other substances of wide use, little degradation and maintenance in the food chain as pesticides, polychlorinated biphenyls and now the recycling of electronic waste put especially infants and children at risk, and even more so in the developing countries.",Non-systematic-review,1,0
21,21180303,Indian heart journal,Safety and tolerability of beta-blockers: prejudices & reality.,"Beta-blockers (BB) substantially improve survival in chronic heart failure and after myocardial infarction. However, concern about side-effects may deter clinicians from prescribing these life-saving drugs. In reality, absolute contraindications are rare. Only 3-5% of patients are intolerant because of hypotension or bradycardia. Data from randomized controlled trials and retrospective studies show that most patients eligible to receive BB tolerate them well. BB are not contraindicated in chronic obstructive pulmonary disease (COPD); in fact, these patients also benefit because of their high cardiovascular risk. In patients with COPD, as in the elderly, BB should be started at a low dose and uptitrated slowly. Monitoring of lung function during initiation is important, as undiagnosed coexistent asthma could be revealed. When patients are unaware of the drug in use, erectile dysfunction (ED) is reported no more often with BB than with any other drug prescribed for heart failure or hypertension. However, when patients are aware of the potential side-effects of BB, the resultant anxiety may cause ED. Patients should be reassured that BB prolong life and in the great majority are not the cause of ED, which may rather be related to the underlying disease (diabetes, hypertension, and atherosclerosis).",Non-systematic-review,1,0
22,22082429,Headache,Insights into the mechanism of onabotulinumtoxinA in chronic migraine.,"OnabotulinumtoxinA has recently been approved by regulatory agencies in the UK and United States for treatment of chronic migraine based on data generated from the PREEMPT studies. As such, onabotulinumtoxinA is the only prophylactic therapy specifically approved for chronic migraine. Most headache clinicians would agree that acute episodic migraine and chronic migraine differ in their pathophysiology, etiology, diagnosis, and response to pharmacological as well as nonpharmacological therapies. Of the 7 botulinum neurotoxin serotypes, botulinum neurotoxin type A (onabotulinumtoxinA) has been the most thoroughly investigated in preclinical and clinical studies. Based on preclinical studies, onabotulinumtoxinA is known to inhibit the release of excitatory neurotransmitters from both motor and sensory neurons by preventing vesicle fusion to the cell membrane. In addition to the well-documented myorelaxant effects of this neurotoxin, onabotulinumtoxinA can exert a direct analgesic effect that likely involves inhibition of primary and secondary nociceptive neurons. The inhibitory effects of onabotulinumtoxinA are also likely to involve suppressing the activity of myogenic trigger points and decreasing the persistent nociceptive barrage that promotes and maintains central sensitization. This article describes possible mechanisms to explain how onabotulinumtoxinA functions as a therapy for chronic migraine and considers why treatment with the neurotoxin is not effective in some chronic migraineurs.",Non-systematic-review,1,0
23,31155874,Zhen ci yan jiu = Acupuncture research,[Development of research on mechanisms of electroacupuncture intervention underlying improvement of cerebral ischemia rats in recent five years].,"In the present paper, we summarized the relevant research literature on the underlying mechanism of electroacupuncture (EA) intervention in improving cerebral ischemia (CI) in middle cerebral artery occlusion (MCAO) model rats in recent 5 years from preconditioning and regular intervention. Outcomes showed that both EA preconditioning and regular intervention could relieve CI by reducing toxicity of excitatory amino acids (glutamate, aspartate) and TLR4/NF-κB-mediated inflammatory cascade reaction to relieve inflammatory injury. Moreover, EA preconditioning also could suppress the expression of pro-apoptosis genes and proteins to relieve apoptosis, regulate activation of microglia, and down-regulate the expression of blood brain barrier integrity-related matrix metalloprotein 9. Regular EA intervention also could promote angiogenesis to increase supply of blood and oxygen, facilitate regeneration, proliferation and differentiation of neural stem cells via triggering activation of Notch and Shh signaling pathways, and promote the secretion of neurotrophin by up-regulating the expression of brain derived neurotrophic factor and nerve growth factor /Trk A receptor, and promote expression of axon growth and synaptic remodeling-related factor (Ephrin B2/Eph B2) and sr-GTPase activating protein 1 and cell division cycle 42 (Cdc42, axon growth and orientated down-stream molecules). However, up to now, the conclusion is still fragmentary and one-sided, and can not explain the specific mechanism of electroacupuncture in MCAO rats, needing further in-depth study.",Non-systematic-review,1,0
24,30059733,NeuroImage,Neonatal brain injury and aberrant connectivity.,"Brain injury sustained during the neonatal period may disrupt development of critical structural and functional connectivity networks leading to subsequent neurodevelopmental impairment in affected children. These networks can be characterized using structural (via diffusion MRI) and functional (via resting state-functional MRI) neuroimaging techniques. Advances in neuroimaging have led to expanded application of these approaches to study term- and prematurely-born infants, providing improved understanding of cerebral development and the deleterious effects of early brain injury. Across both modalities, neuroimaging data are conducive to analyses ranging from characterization of individual white matter tracts and/or resting state networks through advanced 'connectome-style' approaches capable of identifying highly connected network hubs and investigating metrics of network topology such as modularity and small-worldness. We begin this review by summarizing the literature detailing structural and functional connectivity findings in healthy term and preterm infants without brain injury during the postnatal period, including discussion of early connectome development. We then detail common forms of brain injury in term- and prematurely-born infants. In this context, we next review the emerging body of literature detailing studies employing diffusion MRI, resting state-functional MRI and other complementary neuroimaging modalities to characterize structural and functional connectivity development in infants with brain injury. We conclude by reviewing technical challenges associated with neonatal neuroimaging, highlighting those most relevant to studying infants with brain injury and emphasizing the need for further targeted study in this high-risk population.",Non-systematic-review,1,0
25,29450726,Cell and tissue research,C9orf72-associated neurodegeneration in ALS-FTD: breaking new ground in ribosomal RNA and nucleolar dysfunction.,"Amyotrophic lateral sclerosis (ALS) and frontotemporal degeneration (FTD) are neurodegenerative diseases with distinct clinical appearance. However, both share as major genetic risk factor a C9orf72 locus intronic hexanucleotide expansion. The pathogenic pathways associated with the expansion-dependent neuronal toxicity are still poorly understood. Recent efforts to identify common threads of neuronal dysfunction have pointed towards deficits of ribosomal RNA (rRNA) biogenesis and loss of nucleolar integrity, a condition known as nucleolar stress that is an emerging shared feature among neurodegenerative diseases. Intriguingly, the C9orf72 mutation in ALS-FTD interferes with the function of the nucleolus by transcripts and dipeptide repeats (DPRs) produced by the hexanucleotide expansion. Experimental discrepancies have given rise to different hypotheses with regard to the connection of C9orf72 and nucleolar activity. In this review, we present and discuss emerging concepts concerning the impact of C9orf72 expansion on nucleolar biology. Moreover, we discuss the 'nucleolar stress hypothesis,' according to which nucleolar malfunction accompanies, exacerbates, or potentially triggers a degenerative phenotype. Upcoming awareness of the involvement of nucleolar stress in C9orf72 ALS-FTD could shed light into its pathogenesis, enabling potential treatment options aimed at shielding an 'Achilles' heel' of neurons.",Non-systematic-review,1,0
26,30658131,Brain research bulletin,Cerebral malaria.,"Malaria remains of significant public health concern under the tropics, causing millions of deaths annually. The disease is caused by protozoans of the Plasmodium genus, of which harbors several distinct species. Human infection occurs during the blood meal of an infected female mosquito belonging to the Anopheles genus. It is estimated that around 1% of children infected with Plasmodium falciparum develops a more severe form of malaria, which may eventually lead to cerebral complications including cerebral malaria (CM). CM can be positively diagnosed in patients unable to localize a painful stimulus, with peripheral asexual P. falciparum parasitemia and no other identifiable causes of an encephalopathy. Unarousable comas along with the presence of asexual forms of the parasite on a peripheral blood smear are hallmarks of the disease. While the molecular mechanisms underlying the pathogenesis of CM have yet be fully elucidated, the pathology in itself indicates a clear disease of the vascular endothelium. It is characterized by parasite sequestration, inflammatory cytokine production and vascular leakage, eventually resulting in brain hypoxia. The condition requires systemic health management consisting of focused nursing practices, supportive care, and anti-malarial drugs. The continued understanding of pathogenic mechanisms leading to the onset of CM is fundamental and key for the expansion and development of appropriate neuroprotective interventions. Future research perspectives may also include the development of field-based and rapid diagnostic tests for CM, understanding of host-pathogen interactions to advance development of prevention tools and therapies, and antimalarial drug trials.",Non-systematic-review,1,0
27,32306272,Molecular neurobiology,Toll-Like Receptor 4 Signaling in Focal Cerebral Ischemia: a Focus on the Neurovascular Unit.,"A robust innate immune activation leads to downstream expression of inflammatory mediators that amplify tissue damage and consequently increase the morbidity after stroke. The Toll-like receptor 4 (TLR4) pathway is a major innate immune pathway activated acutely and chronically after stroke. Hence, understanding the intricacies of the temporal profile, specific control points, and cellular specificity of TLR4 activation is crucial for the development of any novel therapeutics targeting the endogenous innate immune response after focal cerebral ischemia. The goal of this review is to summarize the current findings related to TLR4 signaling after stroke with a specific focus on the components of the neurovascular unit such as astrocytes, neurons, endothelial cells, and pericytes. In addition, this review will examine the effects of focal cerebral ischemia on interaction of these neurovascular unit components.",Non-systematic-review,1,0
28,16146330,The AAPS journal,New questions regarding bioequivalence of levothyroxine preparations: a clinician's response.,"A recent decision by the Food and Drug Administration (FDA) to declare various brands of levothyroxine bioequivalent has provoked objections from several physicians' organizations. These organizations assert that the method of testing bioequivalence is flawed, and that indiscriminate switching among preparations could lead to serious instances of undertreatment and overtreatment of hypothyroid patients. In this review we first list common indications for thyroid hormone administration, distinguishing its use as replacement therapy in hypothyroidism from its use to suppress thyrotropin (TSH) secretion in cases of thyroid cancer, nodules, and goiter. The dangers associated with changing to a preparation with different bioavailability are summarized, noting the particular danger of giving a more active preparation to a patient receiving TSH-suppressive doses of levothyroxine. However, these dangers are part of a larger problem: there are data showing that large numbers of patients are already receiving an improper dosage of levothyroxine, as judged from measurements of serum TSH. The recent history of FDA actions concerning levothyroxine bioequivalence and the arguments of those in disagreement are summarized. The immediate response to these problems should be better education of both patients and physicians. It is also recommended that there be further discussion of the problems in determining bioequivalence, and that consideration be given to more accurate and clinically relevant methods. Such methods should include assessment of the changes in TSH induced by each preparation in athyrotic patients.",Non-systematic-review,1,0
29,28341420,Biochimica et biophysica acta. Reviews on cancer,Brain metastasization of breast cancer.,"Central nervous system metastases have been reported in 15-25% of breast cancer patients, and the incidence is increasing. Moreover, the survival of these patients is generally poor, with reports of a 1-year survival rate of 20%. Therefore, a better knowledge about the determinants of brain metastasization is essential for the improvement of the clinical outcomes. Here, we summarize the current data about the metastatic cascade, ranging from the output of cancer cells from the primary tumour to their colonization in the brain, which involves the epithelial-mesenchymal transition, invasion of mammary tissue, intravasation into circulation, and homing into and extravasation towards the brain. The phenotypic change in malignant cells, and the importance of the microenvironment in the formation of brain metastases are also inspected. Finally, the importance of genetic and epigenetic changes, and the recently disclosed effects of microRNAs in brain metastasization of breast cancer are highlighted.",Non-systematic-review,1,0
30,11572527,"Journal of obstetric, gynecologic, and neonatal nursing : JOGNN",Symptom experience in women after hysterectomy.,"To review the literature addressing the symptom experience of women after hysterectomy.	Computerized searches in MEDLINE and CINAHL, as well as texts and references cited in articles. Key concepts in the searches included hysterectomy, sleep disturbance and pain, hysterectomy and fatigue, hysterectomy, depression, and depressed mood.	Articles and comprehensive works relevant to key concepts and published after 1970, with an emphasis on new findings from 1990 to 2000. Sixty-four citations were identified as useful to this review.	Data were organized under the following headings: women and hysterectomy, biopsychosocial perspectives, common symptoms after hysterectomy (pain, disturbed sleep, fatigue, depressed mood, anxiety), and significance of review (implications).	Literature suggests that after a hysterectomy, women experience complications during the postoperative recovery period that may vary with the type of surgical procedure. During this period, the quantity and quality of sleep as well as other symptoms (pain, fatigue, anxiety, and depression) are influenced by various physiologic, psychologic, and social factors. Despite limited evidence that sleep problems may occur frequently during the recovery period, only a few researchers have systematically examined sleep patterns in women after hysterectomy. None of these studies, however, used objective sleep measures or examined multiple dimensions of these women's lives.	This review conceptualized the women's symptom experience as the experience of specific symptoms (pain, sleep disturbance, fatigue, depressed mood, and anxiety) that were influenced by biopsychosocial factors.",Non-systematic-review,1,0
31,8988463,Journal of neural transmission. Supplementum,Deprenyl in the treatment of Parkinson's disease: clinical effects and speculations on mechanism of action.,"Selegiline is a relatively selective inhibitor of monoamine oxidase type B that has been used in Parkinson's disease as an adjunct to levodopa and as putative neuroprotective therapy. Clinical trials demonstrate that selegiline slows the rate of disease progression and delays the appearance of disability necessitating levodopa. However, confounding symptomatic effects have made it difficult to ascertain the presence of any direct neuroprotective effect. Laboratory studies demonstrate that selegiline protects dopaminergic neurons through a mechanism that does not involve MAO-B inhibition. Recent studies suggest that neuroprotection in laboratory models may be related to the capacity of selegiline to up-regulate a series of anti-oxidant and anti-apoptotic molecules which promote cell survival. Further delineation of the precise mechanism whereby selegiline induces this effect may permit for the development of enhanced neuroprotective benefits in PD patients.",Non-systematic-review,1,0
