,pmid,journal_name,title,abstract,accepted_label
10,2791758,Zhonghua shen jing jing shen ke za zhi = Chinese journal of neurology and psychiatry,[A further study and discussion on mirror writing and the development of the Chinese written language].,"Mirror image writing was done in 72 preschool children, 40 school children, 40 normal adults and 37 stroke patients with or without aphasia. The results showed that total mirror image writing was demonstrated in only one case and partial mirror image writing in 62 (32.8%). The cases of mirror image writing with the left hand in the preschool children, school children, normal adults and patients with stroke were found in 45.8%, 10.0%, 2.5% and 24.3% respectively. The relationship between mirror image writing and left or right hand disorientation and that between mirror image writing and visual aid were observed.",Remaining
11,34207317,Biomolecules,Pharmacokinetics and Molecular Modeling Indicate nAChRα4-Derived Peptide HAEE Goes through the Blood-Brain Barrier.,"One of the treatment strategies for Alzheimer's disease (AD) is based on the use of pharmacological agents capable of binding to beta-amyloid (Aβ) and blocking its aggregation in the brain. Previously, we found that intravenous administration of the synthetic tetrapeptide Acetyl-His-Ala-Glu-Glu-Amide (HAEE), which is an analogue of the 35-38 region of the α4 subunit of α4β2 nicotinic acetylcholine receptor and specifically binds to the 11-14 site of Aβ, reduced the development of cerebral amyloidogenesis in a mouse model of AD. In the current study on three types of laboratory animals, we determined the biodistribution and tissue localization patterns of HAEE peptide after single intravenous bolus administration. The pharmacokinetic parameters of HAEE were established using uniformly tritium-labeled HAEE. Pharmacokinetic data provided evidence that HAEE goes through the blood-brain barrier. Based on molecular modeling, a role of LRP1 in receptor-mediated transcytosis of HAEE was proposed. Altogether, the results obtained indicate that the anti-amyloid effect of HAEE, previously found in a mouse model of AD, most likely occurs due to its interaction with Aβ species directly in the brain.",Animal-drug-intervention
12,35627807,International journal of environmental research and public health,Functional Outcomes in a Randomized Controlled Trial of Animal-Assisted Therapy on Middle-Aged and Older Adults with Schizophrenia.,"Deficits in cognition, physical, and social functions in adults with schizophrenia may become salient with aging. While animal-assisted therapy (AAT) can benefit physical function in older adults and improve symptoms of psychotic disorders, the effect of AAT on middle-aged patients with schizophrenia is unclear. The current randomized controlled trial aimed to explore the efficacy of AAT for middle-aged patients with schizophrenia. Forty participants were randomly assigned to either the AAT or control group. The AAT group participated in one-hour sessions with dog-assisted group activities once a week for 12 weeks. The controls participated in dose-matched, non-animal-related recreational activities. Both groups remained on their usual psychotropic medication during the trial. Evaluations included the Chair Stand Test (CST), Timed Up-and-Go (TUG) test, Montreal Cognitive Assessment (MoCA), 5-Meter walk test (5MWT), and Assessment of Communication and Interaction Skills (ACIS). The increases in CST repetitions and ACIS scores were larger in the AAT group than in the controls. The two groups did not differ significantly in MoCA scores, TUG performance, or the 5MWT. The AAT group showed a greater increase in lower extremity strength and social skills, but no improvement in cognitive function, agility, or mobility. Further research with more sensitive evaluations and longer follow-up is needed.",Human-RCT-non-drug-intervention
13,25149026,Journal of psychosomatic research,Diabetes and psychiatric illness in the total population of Stockholm.,"Concomitant psychiatric disorders in people with diabetes affect morbidity and mortality. We aimed to study psychiatric morbidity in people with diabetes and the general population using administrative health care data in Stockholm County.	The study population included all living persons who resided in Stockholm County, Sweden, on January 1, 2011 (N=2,058,408). Subjects with a diagnosis of diabetes were identified with data from all consultations in primary health care, specialist outpatient care and inpatient care during the time span 2009-2013. As outcome, information was obtained on all consultations due to any psychiatric diagnosis as well as, specifically, schizophrenia, bipolar disorders, depression, and anxiety disorders, in 2011-2013. Analyses were performed by age group and gender. Age-adjusted odds ratios (ORs) with 95% confidence intervals (95% CI) for women and men with diabetes, using individuals without diabetes as referents, were calculated.	Age-adjusted OR for all psychiatric diagnoses among people with diabetes was 1.296 (95% CI 1.267-1.326) for women and 1.399 (95% CI 1.368-1.432) for men. The greatest excess risk was found for schizophrenia, with OR 3.439 (95% CI 3.057-3.868) in women and 2.787 (95% CI 2.514-3.089) in men, with ORs between 1.276 (95% CI 1.227-1.327) and 1.714 (95% CI 1.540-1.905) for the remaining diagnoses.	The prevalence of psychiatric disorders is elevated in people with diabetes, which calls for preventive action to be taken to minimize suffering and costs to society.",Remaining
14,12072827,Revue neurologique,[Incidence of constipation after recent vascular hemiplegia: a prospective cohort of 152 patients].,Constipation is a major problem for institutionalized patients. This prospective study was performed on a population of 152 in-patients of a stroke rehabilitation center. Constipation was defined as less than three stools weekly or the use of laxative medication. Constipation occurred in sixty percent of the patients. The incidence of constipation was not related to age or sex but was strongly related to functional status of patients assessed by Barthel Index (p<0.003). The influence of both brain lesion or reduce activity is evaluated.,Remaining
15,24080672,The Journal of nervous and mental disease,Prevalence of psychotic symptoms in those with melancholic and nonmelancholic depression.,"The best classification of depressive disorders is still to be established. A melancholic subtype has a lengthy history, and recent research demonstrates its relevance. This study compares the prevalence of psychotic symptoms in nonmelancholic and melancholic depression and assesses whether there is a dimensional pattern in the severity of symptoms among the subtypes. Patients with unipolar depression were assessed for melancholic status, psychotic symptoms, and severity of depression. The diagnosis of melancholia was made by both Diagnostic and Statistical Manual of Mental Disorders, Fourth Edition, Text Revision (DSM-IV-TR), criteria and CORE measure. The DSM criteria assigned a much higher percentage of patients as melancholics (67.4%) than did the CORE (24.9%). Prevalence of psychosis was distinctly higher in the melancholics. Symptoms severity was higher among the melancholics when compared with the nonmelancholics. The presence of psychotic symptoms was not associated with an increase in the intensity of depressive symptoms. Psychotic symptoms are more frequently associated with the melancholic subtype of depression. This suggests clinical contiguity between the melancholic and psychotic subtypes and the clinical relevance of identifying melancholia.",Remaining
16,18383533,Movement disorders : official journal of the Movement Disorder Society,Oculomotor function in multiple system atrophy: clinical and laboratory features in 30 patients.,"We reviewed the clinical and laboratory oculomotor features in 30 patients with probable multiple system atrophy (MSA), 22 with MSA-P and 8 with MSA-C. Six patients were also examined post mortem, MSA being confirmed in four and excluded in two (Parkinson's disease and progressive supranuclear palsy). Clinical examination showed the following abnormalities; excessive square wave jerks--21 of 30 patients; mild vertical supranuclear gaze palsy--8 of 30; gaze-evoked nystagmus--12 of 30 patients, three of whom had no extraocular evidence of cerebellar dysfunction; positioning downbeat nystagmus--10 of 25; mild or moderate saccadic hypometria--22 of 30; impaired ('broken up') smooth pursuit--28 of 30; reduced VOR suppression--16 of 24. Electro-oculography and caloric testing did not add significant extra information. In patients presenting with an akinetic-rigid syndrome it can be difficult to differentiate idiopathic Parkinson's disease from MSA-P and other causes of atypical parkinsonism. Our findings suggest that the presence of excessive square wave jerks, mild-moderate hypometria of saccades, impaired VOR suppression, spontaneous nystagmus or positioning downbeat nystagmus may be oculomotor 'red flags' or clues to the presence of MSA. Further, the presence of clinically slow saccades, or moderate-to-severe gaze restriction, suggests a diagnosis other than MSA.",Remaining
17,25359445,Pituitary,Update on radiation therapy in patients with Cushing's disease.,"Radiation therapy is an important therapy for patients with Cushing's disease who are not in remission or relapse after transsphenoidal pituitary surgery and are not considered surgical candidates. The development of stereotactic radiation therapy, using gamma knife, linear accelerators or proton beam based methods, has enabled selective radiation delivery to the target while minimizing exposure of healthy tissues. In patients whose tumors are sufficiently distant from the optic apparatus, stereotactic radiation therapy can be delivered in a single session, a procedure termed radiosurgery, which significantly improves patient convenience.	Original articles on radiation therapy in Cushing's disease, published during the past 12 months (2013-2014), were identified and pertinent data extracted.	Recent studies have reported on the outcomes of patients with Cushing's disease who received mostly stereotactic radiation therapy. While tumor control has been excellent, biochemical remission was less consistently achieved. Some studies suggested that stereotactic radiation may lead to biochemical remission faster than conventional radiation therapy. In addition, retrospective data have suggested that withdrawing medical therapy around the time stereotactic radiation therapy is administered might lead to a faster biochemical response. Regardless of the radiation therapy method, biochemical recurrences may develop and these patients are at long-term risk of developing anterior hypopituitarism and require lifelong periodic endocrine follow-up. Other, less frequent complications may include cranial neuropathies, secondary tumor formation or temporal lobe necrosis. It is plausible that complications may be less frequent after stereotactic radiation therapy, but this requires confirmation.	Radiation therapy is an effective second line therapy in patients with Cushing's disease. Ongoing refinements in delivery of radiation therapy are anticipated to lead to improved patient outcomes, but long-term follow-up data, including adequate control groups, are needed to fully investigate this possibility.",Non-systematic-review
18,8409195,Journal of the American Optometric Association,Support for the vasogenic theory of glaucoma: case reports and literature review.,"The influence of systemic disease, vascular abnormalities, hematologic and rheologic factors, pulsatile ocular blood flow, perfusion pressure, autoregulation, optic disc hemorrhage and the results of optic nervehead fluorescein angiographic studies are reviewed in the context of supporting evidence for the vasogenic theory of glaucoma.	Two case reports of patients with confirmed carotid artery occlusive disease and one case report of a patient with a history of hypovolemic blood loss are presented.	These cases illustrate the importance of hypotensive crisis, perfusion pressure, collateral blood flow and the optic nerve head vascular autoregulatory mechanism in the pathogenesis of glaucoma and the differential diagnosis of pseudoglaucoma.	Evaluation and consideration of both mechanical and vasogenic causes of the glaucomas is essential in the management of the glaucomas. It is also necessary to differential diagnose the 'pseudo-glaucomas,' and to manage them correctly.",Non-systematic-review
19,21824113,Acta neurologica Scandinavica,Expression of hepatocyte growth factor in the skin of amyotrophic lateral sclerosis.,"Hepatocyte growth factor (HGF) is one of the most potent survival-promoting factors for motor neurons. Overexpression of neuronal HGF has been shown to result in the attenuation of neuronal cell death and progression of disease in a familial amyotrophic lateral sclerosis (ALS) transgenic mouse model. HGF might be beneficial for motor neuron survival and is a good candidate agent for the treatment of ALS. So far, studies of the skin of ALS have shown unique pathological and biochemical abnormalities. However, there has been no study of HGF in ALS skin.	We made a quantitative immunohistochemical study of the expression of HGF in the skin from 19 patients with sporadic ALS and 16 controls.	Hepatocyte growth factor immunoreactivity was positive in the epidermis, some dermal blood vessels, and glands in patients with ALS. These findings became more conspicuous as ALS progressed. The optical density for HGF immunoreactivity of the nucleus and the cytoplasm in the epidermis in ALS was significantly higher (P < 0.001 and P < 0.001) than in controls. There was a significant positive relation (r = 0.53, P < 0.02 and r = 0.73, P < 0.001) between HGF immunoreactivity and duration of illness in the nucleus and the cytoplasm in the epidermis in patients with ALS.	These findings suggest that changes in HGF in ALS skin are related to the disease process and that metabolic alterations of HGF may take place in the skin of patients with ALS.",Remaining
20,27477332,Journal of clinical nursing,The experiences of families living with the anticipatory loss of a school-age child with spinal muscular atrophy - the parents' perspectives.,"To probe into parents' anticipatory loss of school-age children with Type I or II spinal muscular atrophy.	Spinal muscular atrophy is a rare disorder that causes death. Children die early due to either gradual atrophy or an infection of the lungs. Therefore, family members experience anticipatory loss, which causes grief before the actual loss. Family members feel physically and mentally exhausted, which results in a family crisis. Therefore, it is important to explore their experiences related to anticipatory loss to assist with the adjustment of the families to their circumstances.	This study applied a phenomenology method and purposive sampling.	The 19 parents who participated in this study were referred to us by two medical centers in Taiwan. Their average age was 32-49 years.	Using in-depth interviews, this study explored parents' anticipatory loss. The interviews were recorded and transcribed. Meanings were extracted using Giorgi analysis, and precision was assessed according to Guba and Lincoln, which was treated as the evaluation standard.	Four themes were identified from the parents' interviews. The themes included enduring the helplessness and pressure of care, suffering due to the child's rare and unknown condition, loss of hope and a reinforcement of the parent-child attachment, and avoiding the pressure of death and enriching the child's life.	The research findings help nurses identify anticipatory loss among parents of school-age children with type I or II spinal muscular atrophy. They enhance health professionals' understanding of the panic that occurs in the society surrounding the families, family members' dynamic relationships, and the families' demands for care.	In an attempt to providing intersubjective empathy and support with family having a child with type I and II SMA, nurses may recognize relevant family reactions and enhancing their hope and parent-child attachment. Encourage family members and child go beyond the pressure of death and create customized care plans meeting families' emotional and medical needs.",Remaining
21,32552074,Disability and rehabilitation. Assistive technology,Randomized controlled feasibility study of FindMyApps: first evaluation of a tablet-based intervention to promote self-management and meaningful activities in people with mild dementia.,"We tested the feasibility, implementation strategy and mechanism of impact of FindMyApps. FindMyApps is a tablet intervention consisting of a selection tool to help people with dementia find usable apps for self-management and meaningful activities, including training to support informal carers in employing errorless learning principles to help people with dementia learn tablet and tool usage.	We conducted an exploratory, pilot randomized controlled trial with a mixed-methods design. Twenty persons with mild dementia and carer dyads were randomly assigned to the FindMyApps group (n = 10), receiving either the FindMyApps training and selection tool, or a control condition (n = 10), receiving only a short tablet training. Pre- and post-test measurements at a three month follow-up, consisted of questionnaires and post-test semi-structured interviews.	The FindMyApps tool was mostly perceived as useful and easy to use. Persons with dementia were generally able to learn how to use the tool, though they regularly needed support from informal carers. Persons with dementia found apps through the tool, which they used regularly. Persons with dementia and informal carers were positive about the training and support they received. No significant differences were found on outcome measures of persons with dementia, but based on effect sizes FindMyApps is a promising intervention.	Qualitative results indicate that the FindMyApps intervention has the potential to positively influence the self-management abilities and engagement in meaningful activities of people with dementia. Remarks are made to improve the intervention and recommendations are given for future effectiveness studies.Implications for rehabilitationThe person-centred tablet intervention FindMyApps has the potential to positively influence the self-management and engagement in meaningful activities in people with dementia.Based on the input of persons with dementia and informal carers, the FindMyApps intervention and study procedure will be further improved and evaluated in terms of effectiveness in an RCT.",Human-RCT-non-drug-intervention
22,23266819,Gene,A 5-methylcytosine hotspot responsible for the prevalent HSD17B10 mutation.,"Approximately half of the cases of hydroxysteroid (17β) dehydrogenase X (HSD10) deficiency are due to a missense C>T mutation in exon 4 of the HSD17B10 gene. The resulting HSD10 (p.R130C) loses most or all catalytic functions, and the males with this mutation have a much more severe clinical phenotype than those carrying p.V65A, p.L122V, or p.E249Q mutations. We found that the mutated cytosine which is +2259 nucleotide from the ATG of the gene, is >90% methylated in both the active and inactive X chromosomes in two normal females as well as in the X chromosome of a normal male. Since 5-methylcytosine is prone to conversion to thymine by deamination, the methylation of this cytosine in normal X chromosomes provides an explanation for the prevalence of the p.R130C mutation among patients with HSD10 deficiency. The substitution of arginine for cysteine eliminates several hydrogen bonds and reduces the van der Waals interaction between HSD10 subunits. The resulting disruption of protein structure impairs some if not all of the catalytic and non-enzymatic functions of HSD10. A meta-analysis of residual HSD10 activity in eight patients with the p.R130C mutation showed an average 2-methyl-3-hydroxybutyryl-CoA dehydrogenase (MHBD) activity of only 6 (±5) % of the normal control level. This is significantly lower than in cells of patients with other, clinically milder mutations and suggests that the loss of HSD10/MHBD activity is a marker for the disorder.",Remaining
23,26201,Acta virologica,"Transmissible virus dementia. II. Neurohistology of three, geographically clustered cases of Creutzfeldt-Jakob disease.","Histopathological findings in three temporo-spatially linked cases of Creutzfeldt-Jakob disease (CJD) are reported. The patients were males, unrelated and without positive family history. Their mean age at the onset of the disease was 52.3 years. The mean duration of the illness was 6.6 months; the clinical symptomatology differed considerably. Neurohistology revealed in all patients a neuronal loss, intracyoplasmic vacuolation, spongiosis and astrocytosis. Besides the cortical regions, basal ganglia and cerebella were severely affected. All cases were pathologically suggestive of the cortico-striato-cerebella variant of CJD. Attention is drawn to this apparent topical similarity of most pronounced lesions. The possible significance of the pathoanatomical consistency, observed in the cases studied, for the unusual pattern of natural occurrence of CJD is considered.",Remaining
24,18084001,"Rheumatology (Oxford, England)",Neuropsychiatric lupus and reversible posterior leucoencephalopathy syndrome: a challenging clinical dilemma.,"Reversible posterior leucoencephalopathy syndrome (RPLS) has been increasingly recognized and reported in the literature. While the condition has been well described in patients with acute hypertension, pre-eclampsia, eclampsia, post-transplantation and chemotherapy, RPLS has been increasingly identified in patients with autoimmune diseases such as systemic lupus erythematosus (SLE). Though experience in the diagnosis and management of RPLS in patients with SLE is likely accumulating, few have systematically worked out the strategy to distinguish RPLS from neuropsychiatric SLE (NPSLE) and lupus-related complications of the central nervous system (CNS). Prompt recognition of, and differentiation between, these conditions is essential since their clinical presentations substantially overlap and yet their management strategy and subsequent outcomes can be entirely different. Indeed, inappropriate treatment such as augmentation of immunosuppression may be detrimental to patients with RPLS. A high index of suspicion of RPLS, prompt magnetic resonance imaging of the brain, including diffusion imaging, exclusion of CNS infection and metabolic derangement, a comprehensive medication review accompanied by timely and aggressive control of blood pressure and seizure are keys to successful management of RPLS. Such treatment strategy ensures a very high chance of total neurological recovery in lupus patients with RPLS.",Non-systematic-review
25,35941828,Brain and behavior,Association between diabetes duration and 1-year prognosis of stroke: A national registry study.,"Diabetes mellitus is a strong independent risk factor for stroke recurrence. However, the association between diabetes duration and the prognosis of stroke remains uncertain. We aimed to characterize whether an association exists between diabetes duration and stroke outcomes in patients with ischemic stroke or transient ischemic attack (TIA).	Between 2015 and 2018, 14,674 patients with ischemic stroke or TIA within 7 days and older than 18 years from the Third China National Stroke Registry (CNSR-III) were included in this analysis. Diabetes duration at baseline was collected by face-to-face interviews and further categorized into groups of without diabetes, diabetes < 4, 4 to <8 and ≥8 years. The association between diabetes duration and clinical outcomes, including stroke recurrence, poor function outcome (modified Rankin Scale score of 3-6), and all-cause mortality at the 1-year follow-up after stroke onset, was evaluated by a multivariable Cox proportional hazard regression model, competing risk model and logistic regression model with adjustment for demographic and clinical features.	Among the 14,674 patients included, the average age was 62.0 years, and 68.5% were male. There were 1419 (9.7%) patients who had stroke recurrence, 1912 (13.0%) who had poor function outcome, and 478 (3.3%) who had all-cause mortality at the 1-year follow-up. After adjusting for potential covariates, a diabetes duration ≥8 years was associated with an increased risk of 1-year stroke recurrence (adjusted hazards ratio [HR], 1.31; 95% CI, 1.05-1.64; p = .02) in comparison to those without Diabetes mellitus. Using a competing risk regression model, a diabetes duration ≥8 years was a significant risk factor for stroke recurrence (HR, 1.31; 95% CI, 1.12-1.53). In contrast, there was no significant association between diabetes duration < 4, 4 to <8 years and clinical outcomes.	Long-term diabetes duration (≥8 years), but not short-term diabetes duration, was associated with an increased risk of 1-year stroke recurrence in patients with ischemic stroke or TIA.",Remaining
26,8726540,Clinical neuropharmacology,Lack of relation between genetic polymorphism of cytochrome P-450IID6 and sporadic idiopathic Parkinson's disease.,"We investigated genetic polymorphism of the cytochrome P-450 CYP2D6 gene from white patients with idiopathic Parkinson's disease (IPD). The mutations of the CYP2D6 gene associated with the poor metabolizer (PM) phenotype of the debrisoquine/sparteine polymorphism were analyzed in DNA of 130 IPD patients by a polymerase chain reaction (PCR)-based DNA amplification combined with Xba I restriction fragment length polymorphism (RFLP) analysis in 105 patients. Another mutation located in exon 6 was analyzed by Hha I RFLP in 94 IPD patients. The frequencies of the different CYP2D6 gene mutations were compared to the frequencies in sex- and age-matched white control population with chronic bronchitis. The rate of genotypically defined PM and the frequencies of the different mutations were not significantly different in IPD patients and controls. These results fail to confirm the previously reported results concerning CYP2D6 gene mutations in IPD. These equivocal results might be related to methodologic problems. However, other hypotheses have been suggested: impairment of neuronal CYP 2D6 expression, transient modification of CYP 2D6 phenotype, or linkage of CYP2D6 gene to the candidate gene locus directly involved in IPD.",Remaining
