idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
17,12489625,"Journal of the American Pharmaceutical Association (Washington, D.C. : 1996)",State syringe and drug possession laws potentially influencing safe syringe disposal by injection drug users.,"To review state laws and judicial decisions for potential barriers to proper syringe disposal by injection drug users (IDUs).	Using standard legal research methods, this study reviewed drug paraphernalia, syringe prescription, drug possession, and syringe exchange laws and relevant case decisions in 59 jurisdictions.	Drug paraphernalia, syringe prescription, and drug possession laws.	Drug paraphernalia laws prohibit all possession of syringes by IDUs in 31 jurisdictions. Syringe prescription laws prohibit possession in 7 jurisdictions. In 53 jurisdictions, IDUs may be subject to prosecution for the possession of drug residue in used syringes. Only two states (HI, RI) have no legal barriers to safe syringe disposal by IDUs. Sixteen jurisdictions that have tried to expand syringe access for IDUs by authorizing SEPs or by deregulating pharmacy sale of syringes continue to have criminal law provisions that could pose barriers to proper disposal.	IDUs are a significant source of syringes disposed of outside the health care system. Involving IDUs in safe community sharps disposal programs is an important public health goal, but may be frustrated by legal barriers. Although this study looked only at law on the books, and not law as actually applied, ethnographic and survey research indicates that criminal laws do influence the syringe possession behavior of IDUs. The findings of this study suggest that syringe and drug possession laws could deter IDUs from participating in safe syringe disposal programs.",Non-systematic-review,1,0
18,17568334,Journal francais d'ophtalmologie,[Topiramate and acute myopia with angle-closure glaucoma: case report and literature review].,"Topiramate, an antiepileptic medication, has been widely used since its recent indication for migraine prophylaxis. We report a case of bilateral angle-closure glaucoma and acute myopia in a 44-year-old woman on oral topiramate therapy initiation for migraine prophylaxis. Intraocular pressure was 31 mmHg right and 32 mmHg left, myopia was 4 diopters. Topiramate was interrupted and general and local hypotensive treatment begun and rapidly stopped after improvement. Iridotomy was also performed. Fifteen days later, complete resolution was observed on ophthalmologic examination: anterior chambers were deep, myopia fully regressed, intraocular pressure returned to normal, and the visual field was complete. This new case prompts discussion on current reports in the literature and French drug monitoring database cases in this context.",Non-systematic-review,1,0
19,19404652,Acta neuropathologica,Pathology and new players in the pathogenesis of brain edema.,"Brain edema continues to be a major cause of mortality after diverse types of brain pathologies such as major cerebral infarcts, hemorrhages, trauma, infections and tumors. The classification of edema into vasogenic, cytotoxic, hydrocephalic and osmotic has stood the test of time although it is recognized that in most clinical situations there is a combination of different types of edema during the course of the disease. Basic information about the types of edema is provided for better understanding of the expression pattern of some of the newer molecules implicated in the pathogenesis of brain edema. These molecules include the aquaporins, matrix metalloproteinases and growth factors such as vascular endothelial growth factors A and B and the angiopoietins. The potential of these agents in the treatment of edema is discussed. Since many molecules are involved in the pathogenesis of brain edema, effective treatment cannot be achieved by a single agent but will require the administration of a 'magic bullet' containing a variety of agents released at different times during the course of edema in order to be successful.",Non-systematic-review,1,0
20,24892819,International reviews of immunology,"Rheumatic fever, autoimmunity, and molecular mimicry: the streptococcal connection.","The group A streptococcus, Streptococcus pyogenes, and its link to autoimmune sequelae, has acquired a new level of understanding. Studies support the hypothesis that molecular mimicry between the group A streptococcus and heart or brain are important in directing immune responses in rheumatic fever. Rheumatic carditis, Sydenham chorea and a new group of behavioral disorders called pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections are reviewed with consideration of autoantibody and T cell responses and the role of molecular mimicry between the heart, brain and group A streptococcus as well as how immune responses contribute to pathogenic mechanisms in disease. In rheumatic carditis, studies have investigated human monoclonal autoantibodies and T cell clones for their crossreactivity and their mechanisms leading to valve damage in rheumatic heart disease. Although studies of human and animal sera from group A streptococcal diseases or immunization models have been crucial in providing clues to molecular mimicry and its role in the pathogenesis of rheumatic fever, study of human monoclonal autoantibodies have provided important insights into how antibodies against the valve may activate the valve endothelium and lead to T cell infiltration. Passive transfer of anti-streptococcal T cell lines in a rat model of rheumatic carditis illustrates effects of CD4+ T cells on the valve. Although Sydenham chorea has been known as the neurological manifestation of rheumatic fever for decades, the combination of autoimmunity and behavior is a relatively new concept linking brain, behavior and neuropsychiatric disorders with streptococcal infections. In Sydenham chorea, human mAbs and their expression in transgenic mice have linked autoimmunity to central dopamine pathways as well as dopamine receptors and dopaminergic neurons in basal ganglia. Taken together, the studies reviewed provide a basis for understanding streptococcal sequelae and how immune responses against group A streptococci influence autoimmunity and inflammatory responses in the heart and brain.",Non-systematic-review,1,0
21,25690086,Therapeutic delivery,Nanotherapeutic strategies for the treatment of Alzheimer's disease.,"Alzheimer's disease (AD), the most common form of dementia, is now representing one of the largest unmet medical needs. However, no effective treatment is now available to impede the progression of AD or delay its onset. There are two major challenges for the development of effective therapy for AD. First, the exact cause for AD onset is still unknown. Second, brain drug delivery is significantly hindered by the blood-brain barrier (BBB). In this review, we will summarize the pathological understanding about AD and the related treatments, compare BBB and its effect on brain drug delivery under normal and AD conditions and review the nanotherapeutic strategies that have been developed for AD therapy in recent years.",Non-systematic-review,1,0
22,26404041,Metabolic brain disease,The brain following transjugular intrahepatic portosystemic shunt: the perspective from neuroimaging.,"Hepatic encephalopathy (HE) is a common complication after implantation of a transjugular intrahepatic portosystemic shunt (TIPS). Neuroimaging offers a variety of techniques for non-invasive evaluation of alterations in metabolism, as well as structural and functional changes of the brain in patients after TIPS implantation. In this article, we review the epidemiology and pathophysiology of post-TIPS HE. The potential of neuroimaging including positron emission tomography and multimodality magnetic resonance imaging to investigate the pathophysiology of post-TIPS HE is presented. We also give a perspective on the role of neuroimaging in this field.",Non-systematic-review,1,0
23,29450726,Cell and tissue research,C9orf72-associated neurodegeneration in ALS-FTD: breaking new ground in ribosomal RNA and nucleolar dysfunction.,"Amyotrophic lateral sclerosis (ALS) and frontotemporal degeneration (FTD) are neurodegenerative diseases with distinct clinical appearance. However, both share as major genetic risk factor a C9orf72 locus intronic hexanucleotide expansion. The pathogenic pathways associated with the expansion-dependent neuronal toxicity are still poorly understood. Recent efforts to identify common threads of neuronal dysfunction have pointed towards deficits of ribosomal RNA (rRNA) biogenesis and loss of nucleolar integrity, a condition known as nucleolar stress that is an emerging shared feature among neurodegenerative diseases. Intriguingly, the C9orf72 mutation in ALS-FTD interferes with the function of the nucleolus by transcripts and dipeptide repeats (DPRs) produced by the hexanucleotide expansion. Experimental discrepancies have given rise to different hypotheses with regard to the connection of C9orf72 and nucleolar activity. In this review, we present and discuss emerging concepts concerning the impact of C9orf72 expansion on nucleolar biology. Moreover, we discuss the 'nucleolar stress hypothesis,' according to which nucleolar malfunction accompanies, exacerbates, or potentially triggers a degenerative phenotype. Upcoming awareness of the involvement of nucleolar stress in C9orf72 ALS-FTD could shed light into its pathogenesis, enabling potential treatment options aimed at shielding an 'Achilles' heel' of neurons.",Non-systematic-review,1,0
24,2202982,Postgraduate medical journal,The measurement of anxiety.,"Selected contemporary highlights and issues in the field of anxiety measurement are discussed. The concepts of state and trait anxiety, and the most widely used measures of these, are reviewed. A measure of state anxiety is essential in some clinical and experimental research and it is often very useful in clinical practice. Whilst existing measures are satisfactory for some purposes, none adequately assesses the psychological, somatic and behavioural components of anxiety. The measurement of trait anxiety is also important in some clinical research and as part of the assessment of selected patients. In some circumstances, self report measures of trait anxiety should be used in conjunction with a measure of social desirability. Patients who score low both on trait anxiety and social desirability may respond differently to experimental stressors from those who score low on trait anxiety and high on social desirability. This may have a number of implications, for example in the area of psychoimmunology. Four scales are reviewed in more detail: the Courtauld Emotional Control Scale, the Hospital Anxiety and Depression Scale, the Clinical Anxiety Scale and the Fear Questionnaire. Finally, some future directions for research are outlined.",Non-systematic-review,1,0
25,24697248,Expert opinion on drug safety,Cardiovascular events associated with the long-term use of NSAIDs: a review of randomized controlled trials and observational studies.,"An increased risk of cardiovascular thrombotic events in users of NSAIDs was first demonstrated for rofecoxib. This risk seems to be related to the COX-2 inhibitory potency and has been found with most NSAIDs except naproxen. Two main hypotheses have been advanced: an imbalance between COX-1-dependent platelet production of thromboxane and partly COX-2-dependent endothelial production of prostacyclin, and a COX-2-dependent increase in blood pressure.	Clinical trials and observational studies providing information about cardiovascular risk associated with long-term use of NSAIDs were retrieved; 14 clinical trials and 16 observational studies mentioned a follow-up of at least 6 months.	Results are ambiguous: long-term exposure seemed associated with an increased risk of myocardial infarction or stroke with high-dose rofecoxib, and perhaps diclofenac, but less with other NSAIDs. In other studies, little or no increase in risk was associated with exposures shorter than 30 days. Since most NSAIDs are rarely used long term, there is little information on risks associated with long-term use. The relative risks or odds ratios associated with most drugs are mostly well below 2.",Non-systematic-review,1,0
26,25666180,Recent patents on CNS drug discovery,Genetic and bioinformatic studies of antidepressant drug therapeutic efficacy and toxicity: a current overview.,"Antidepressants can relief human depression and reduce human depressive symptoms. Nevertheless, some undesired clinical events, such as suicide have been emerging. As for 2004, the US and European regulatory agencies began implementing verification programs to assess the influence on suicidal behavior from the use of antidepressants such as selective serotonin reuptake inhibitors (SSRIs). With the increasing number of reported cases, several newly developed antidepressants were faced with withdrawal from the markets. Despite unclear cause of suicide, researches focusing on revealing the relationship between efficacy and toxicities of antidepressants have been initiated in China and US. To deal with these undesired clinical consequences, new initiatives and revolutionary ideas have been proposed and verified. Hopefully, therapeutic efficacies and outcomes by different types of antidepressant treatments can be improved for clinical trials in future.",Non-systematic-review,1,0
27,9193127,Behaviour research and therapy,Diagnosing DSM-IV--Part I: DSM-IV and the concept of disorder.,"In this first article in a two-article series, I diagnose' a problem with DSM-IV, specifically, the overinclusiveness of its diagnostic criteria. Using the harmful dysfunction analysis of the concept of disorder (Wakefield, 1992a, American Psychologist, 47, 373-388) as a framework, I argue that DSM-IV criteria for many diagnostic categories fail to satisfy the analysis' dysfunction' requirement, that is, the criteria do not distinguish harmful conditions due to internal dysfunctions from harmful conditions that are nondisordered 'problems in living'. The overinclusiveness problem, I suggest, can be partly dealt with by giving up purely symptomatic criteria and contextualizing diagnosis to take into account the relationship between triggering causes and resulting symptoms. In Part II (Wakefield, 1997, Behaviour Research and Therapy, 35, 651-665, I examine Eysenck's (1986, Contemporary directions in psychopathology: Toward the DSM-IV) proposal for a dimensional diagnostic system to supplant DSM-IV.",Non-systematic-review,1,0
28,25351111,Journal of Alzheimer's disease : JAD,Prevention of Alzheimer's disease: a global challenge for next generation neuroscientists.,"The incidence of dementia is rapidly increasing in developed countries due to social and demographic changes. This trend is expected to worsen in the coming decades, with the number of cases possibly even tripling in the next 25 years. Therefore Alzheimer's disease (AD) prevention is becoming a global health priority. Our knowledge of the pathophysiological process leading to the development of pathological brain lesions that characterize AD has increased exponentially in recent years. However, the phenotypic expression of AD not only depends on the development of senile plaques and neurofibrillary tangles but other factors also play a role. Thus, over the last few decades, epidemiological studies have revealed several risk factors for developing AD, such as vascular or lifestyle related factors. Having the current knowledge on AD, two different strategies have been developed for the prevention of AD: one is based on primary prevention by acting on modifiable risk factors, the other is a pathophysiology-driven approach aimed to identify individuals in a preclinical stage of the disease and treating them with drugs purporting to act on molecular targets of the amyloid cascade. Several promising trials with these approaches are currently ongoing and results are expected in the next few years. The intrinsic limitations in the design of preventive trials should be overcome through a global effort involving healthy population, healthcare professionals, governments, industry, and scientific institutions. This exertion will be more than compensated if we can make AD a preventable disease.",Non-systematic-review,1,0
29,21902053,Pakistan journal of biological sciences : PJBS,A review on the metabolic disorders of iodine deficiency.,Iodine is in the crucial parts of two hormones of T4 and T3 produced by the thyroid glands which are essential for all the aspects of human metabolisms. It is demonstrated that iodine deficiency can be considered as sole cause of many thyroid abnormalities including mental disorders. Iodine deficiency of sufficient degree to cause hypothyroidism during fetus life and early infancy will be accompanied with brain abnormality possibly to the stage of mental retardation. The iodine deficiency among subjects in their early stage of childhood is not as severe as those in their fetus or infancy. In adult subjects the sever iodine deficiency can be also associated with mental disorders due to the direct side effects of hypothyroidism occurred by lack of iodine. The clinical manifestation of iodine deficiency show itself with psychological disorders in adult subjects. The status of iodine within blood can be evaluated through measurement of urinary iodine level and the low urinary concentration is an indicative of hypothyroidism. Mental retardation and brain damage due to iodine deficiency can be prevented if iodine supplementation prescribed duly on time.,Non-systematic-review,1,0
30,21714358,Epidemiology and psychiatric sciences,The efficacy of psychotherapy in reducing post-psychotic trauma.,"There is now growing evidence to suggest that the experience of psychosis may be so traumatic for some that it can lead to Post Traumatic Stress Disorder (PTSD)-type symptoms or post-psychotic trauma symptoms (PPTS). There is, however, less knowledge about what psychological interventions may be helpful in reducing these symptoms. Evidence from the literature, to date, suggests that of the seven studies that have addressed this issue only four were randomized controlled trials (RCTs). However, all these studies included less than 100 patients with the vast majority reporting positive results. Overall, it seems that although cognitive-behavioural treatment (CBT)-based psychological interventions appear to be efficacious in the treatment of PPTS, the studies are too small to draw any firm conclusions and should be subjected to larger good-quality RCTs. Further research will also need to establish the role of mediating variables such as shame and depression in the treatment of PPTS.",Non-systematic-review,1,0
