idx,pmid,journal_name,title,abstract,keywords,accepted_label,multi_label,binary_label
12,23562430,Alzheimer's & dementia : the journal of the Alzheimer's Association,Neuropsychiatric symptoms in Alzheimer's disease: past progress and anticipation of the future,"Neuropsychiatric symptoms (NPS) in Alzheimer's disease (AD) are widespread and disabling. This has been known since Dr. Alois Alzheimer's first case, Frau Auguste D., presented with emotional distress and delusions of infidelity/excessive jealousy, followed by cognitive symptoms. Being cognizant of this, in 2010 the Alzheimer's Association convened a research roundtable on the topic of NPS in AD. A major outcome of the roundtable was the founding of a Professional Interest Area (PIA) within the International Society to Advance Alzheimer's Research and Treatment (ISTAART). The NPS-PIA has prepared a series of documents that are intended to summarize the literature and provide more detailed specific recommendations for NPS research. This overview paper is the first of these living documents that will be updated periodically as the science advances. The overview is followed by syndrome-specific synthetic reviews and recommendations prepared by NPS-PIA workgroups on depression, apathy, sleep, agitation, and psychosis.",Agitation/aggression| Alzheimer's disease| Apathy| Behavioral and psychological symptoms of dementia| Delusions| Dementia| Depression| Hallucinations| Mild behavioral impairment| Mild cognitive impairment| Neuropsychiatric symptoms| Psychosis| Sleep disorders,Non-systematic-review,1,0
13,34360586,International journal of molecular sciences,"Copper, Iron, and Manganese Toxicity in Neuropsychiatric Conditions.","Copper, manganese, and iron are vital elements required for the appropriate development and the general preservation of good health. Additionally, these essential metals play key roles in ensuring proper brain development and function. They also play vital roles in the central nervous system as significant cofactors for several enzymes, including the antioxidant enzyme superoxide dismutase (SOD) and other enzymes that take part in the creation and breakdown of neurotransmitters in the brain. An imbalance in the levels of these metals weakens the structural, regulatory, and catalytic roles of different enzymes, proteins, receptors, and transporters and is known to provoke the development of various neurological conditions through different mechanisms, such as via induction of oxidative stress, increased α-synuclein aggregation and fibril formation, and stimulation of microglial cells, thus resulting in inflammation and reduced production of metalloproteins. In the present review, the authors focus on neurological disorders with psychiatric signs associated with copper, iron, and manganese excess and the diagnosis and potential treatment of such disorders. In our review, we described diseases related to these metals, such as aceruloplasminaemia, neuroferritinopathy, pantothenate kinase-associated neurodegeneration (PKAN) and other very rare classical NBIA forms, manganism, attention-deficit/hyperactivity disorder (ADHD), ephedrone encephalopathy, HMNDYT1-SLC30A10 deficiency (HMNDYT1), HMNDYT2-SLC39A14 deficiency, CDG2N-SLC39A8 deficiency, hepatic encephalopathy, prion disease and 'prion-like disease', amyotrophic lateral sclerosis, Huntington's disease, Friedreich's ataxia, and depression.",copper| iron| manganese| neurodegeneration,Non-systematic-review,1,0
14,1474886,Minerva psichiatrica,[Social support and mental distress. Epidemiologic studies].,"The clinical and experimental model of social support connects some social phenomenon (as isolation and loneliness, involvement and relationships) to health or psychophysical distress. This review of epidemiologic research, carried on USA, point out: a) the epidemiologic correlation between support and health/distress; b) frequently, the phenomenon of stress 'buffered' by social support; c) the onset of psychological distress linked on support's and stress level. The clinical and preventive intervention may gets some profit from the outcome of this epidemiologic research.",,Non-systematic-review,1,0
15,31705515,Advances in experimental medicine and biology,"Digital Interventions for Mental Disorders: Key Features, Efficacy, and Potential for Artificial Intelligence Applications.","Mental disorders are highly prevalent and often remain untreated. Many limitations of conventional face-to-face psychological interventions could potentially be overcome through Internet-based and mobile-based interventions (IMIs). This chapter introduces core features of IMIs, describes areas of application, presents evidence on the efficacy of IMIs as well as potential effect mechanisms, and delineates how Artificial Intelligence combined with IMIs may improve current practices in the prevention and treatment of mental disorders in adults. Meta-analyses of randomized controlled trials clearly show that therapist-guided IMIs can be highly effective for a broad range of mental health problems. Whether the effects of unguided IMIs are also clinically relevant, particularly under routine care conditions, is less clear. First studies on IMIs for the prevention of mental disorders have shown promising results. Despite limitations and challenges, IMIs are increasingly implemented into routine care worldwide. IMIs are also well suited for applications of Artificial Intelligence and Machine Learning, which provides ample opportunities to improve the identification and treatment of mental disorders. Together with methodological innovations, these approaches may also deepen our understanding of how psychological interventions work, and why. Ethical and professional restraints as well as potential contraindications of IMIs, however, should also be considered. In sum, IMIs have a high potential for improving the prevention and treatment of mental health disorders across various indications, settings, and populations. Therefore, implementing IMIs into routine care as both adjunct and alternative to face-to-face treatment is highly desirable. Technological advancements may further enhance the variability and flexibility of IMIs, and thus even further increase their impact in people's lives in the future.",Artificial intelligence| Internet interventions| Machine learning| Mental disorders| Prevention| Psychotherapy| eHealth,Non-systematic-review,1,0
16,24737903,Postgraduate medical journal,Republished: Antineutrophil cytoplasmic antibody-associated vasculitides: is it time to split up the group?,"Antineutrophil cytoplasmic antibody (ANCA)-associated vasculitides are a heterogeneous group of diseases corresponding to necrotising inflammation of small vessels with a wide range of clinical presentations. At least two of the diseases are believed to exhibit a common ground of pathophysiological mechanisms. These are granulomatosis with polyangiitis (GPA, formerly known as Wegener's granulomatosis) and microscopic polyangiitis (MPA). ANCA directed against proteinase 3 (PR3) are preferentially associated with GPA, and anti-myeloperoxidase (MPO) ANCA are associated mainly with MPA and eosinophilic GPA (formerly known as Churg-Strauss syndrome). Anti-MPO and anti-PR3 antibodies can activate neutrophils in vitro. In vivo data are available for humans and mice on the pathogenicity of anti-MPO but it is more controversial for PR3-ANCA. A recent genome-wide association study of patients with ANCA-associated vasculitides confirmed the genetic contribution to the pathogenesis of these conditions, with significant association of PR3-ANCA and human leukocyte antigen-DP and the genes encoding α1-antitrypsin and PR3. MPO-ANCA were significantly associated with human leukocyte antigen-DQ. Thus, recent results from epidemiological studies, genome-wide association study and therapeutic trials have suggested that these entities are, in fact, distinct. We have summarised these results and discuss the idea that these two entities should be studied separately as the nature of the two auto-antigens suggests at a molecular level despite shared ANCA involvement.",Autoantibodies| Granulomatosis with polyangiitis| Inflammation,Non-systematic-review,1,0
17,8976505,"Occupational medicine (Philadelphia, Pa.)",The management of psychopathology in the workplace.,"This chapter is an outcome of an educational symposium held by the United States Postal Service to improve the management of medical and psychiatric problems by Postal Service physicians and their medical contractor cohorts. The proceedings have been edited to highlight psychiatric issues. The symposium begins with a case presentation, followed by a discussion, comments, questions and answers. The primary discussants were a faculty of distinguished psychiatrists with a wealth of academic and clinical experience. The symposium begins with an introduction by Ibrahim Farid, MD, senior area medical director for the United States Postal Service, who presents a rationale for holding the symposium.",,Non-systematic-review,1,0
18,28257128,Nature reviews. Neurology,Cognitive decline in Parkinson disease,"Dementia is a frequent problem encountered in advanced stages of Parkinson disease (PD). In recent years, research has focused on the pre-dementia stages of cognitive impairment in PD, including mild cognitive impairment (MCI). Several longitudinal studies have shown that MCI is a harbinger of dementia in PD, although the course is variable, and stabilization of cognition - or even reversal to normal cognition - is not uncommon. In addition to limbic and cortical spread of Lewy pathology, several other mechanisms are likely to contribute to cognitive decline in PD, and a variety of biomarker studies, some using novel structural and functional imaging techniques, have documented in vivo brain changes associated with cognitive impairment. The evidence consistently suggests that low cerebrospinal fluid levels of amyloid-β(42), a marker of comorbid Alzheimer disease (AD), predict future cognitive decline and dementia in PD. Emerging genetic evidence indicates that in addition to the APOE*ε4 allele (an established risk factor for AD), GBA mutations and SCNA mutations and triplications are associated with cognitive decline in PD, whereas the findings are mixed for MAPT polymorphisms. Cognitive enhancing medications have some effect in PD dementia, but no convincing evidence that progression from MCI to dementia can be delayed or prevented is available, although cognitive training has shown promising results.",,Non-systematic-review,1,0
19,35726540,"PM & R : the journal of injury, function, and rehabilitation",Preoperative electrodiagnostic planning for upper limb peripheral nerve transfers in cervical spinal cord injury: A narrative review.,"Peripheral nerve transfer (PNT) to improve upper limb function following cervical spinal cord injury (SCI) involves the transfer of supralesional donor nerves under voluntary control to intralesional or sublesional lower motor neurons not under voluntary control. Appropriate selection of donor and recipient nerves and surgical timing affect functional outcomes. Although the gold standard of nerve selection is intraoperative nerve stimulation, preoperative electrodiagnostic (EDX) evaluation may help guide surgical planning. Currently there is no standardized preoperative EDX protocol. This study reviews the EDX workup preceding PNT surgery in cervical SCI and proposes an informed EDX protocol to assist with surgical planning. The PICO (Population, Intervention, Comparison, Outcome) framework was used to formulate relevant Medical Subject Headings (MeSH) terms and identify published cases of PNT in cervical SCI in Medline, Embase, CINAHL, and Emcare databases in the last 10 years. The EDX techniques evaluating putative donor nerves, recipient nerve branches, time sensitivity of nerve transfer and other electrophysiological parameters were summarized to guide creation of a preoperative EDX protocol. Needle electromyography (EMG) was the most commonly used EDX technique to identify healthy donor nerves. Although needle EMG has also been used on recipient nerves, compound muscle action potential amplitudes may provide a more accurate determination of recipient nerve health and time sensitivity for nerve transfer. Although there has been progress in presurgical EDX evaluation, EMG and nerve conduction study approaches are variable, and each has limitations in their utility for preoperative planning. There is need for standardization in the EDX evaluation preceding PNT surgery to assist with donor and recipient nerve selection, surgical timing and to optimize outcomes. Based on results of this review, herein we propose the PreSCIse (PRotocol for Electrodiagnosis in SCI Surgery of the upper Extremity) preoperative EDX panel to achieve said goals through an interdisciplinary and patient-centered approach.",,Non-systematic-review,1,0
20,16044216,Strahlentherapie und Onkologie : Organ der Deutschen Rontgengesellschaft ... [et al],Positron emission tomography for radiation treatment planning.,"To evaluate the impact of positron emission tomography (PET) on target volume delineation for radiation treatment planning.	The data of the literature concerning the use of PET in target volume delineation are summarized. The following points are discussed for each tumor entity: biological background for the PET investigation, sensitivity and specificity of PET (with different tracers) in comparison to computed tomography (CT) and magnetic resonance imaging (MRI) and impact of PET on target volume definition. New PET tracers, which could visualize biological pathways, such as hypoxia, proliferation, angiogenesis, apoptosis and gene expression patterns, will also be discussed.	The results of clinical studies on the integration of PET in target volume definition for lung, head-and-neck, genitourinary and brain tumors were analyzed. Fluorodeoxyglucose-(FDG-)PET has a significant impact on GTV (gross tumor volume) and PTV (planning target volume) delineation in lung cancer and can detect lymph node involvement and differentiate malignant tissue from atelectasis. In head-and-neck cancer, the value of FDG-PET for radiation treatment planning is still under investigation. For example, FDG-PET could be superior to CT and MRI in the detection of lymph node metastases and unknown primary cancer and in the differentiation of viable tumor tissue after treatment. Therefore, it might play an important role in GTV definition and sparing of normal tissue. Choline PET and acetate PET are promising tracers in the diagnosis of prostate cancer, but their validity in local tumor demarcation, lymph node diagnosis and detection of recurrence has to be defined in future clinical trials. FDG-PET seems to be particularly valuable in lymph node status definition in cervical cancer. In high-grade gliomas and meningiomas, methionine PET helps to define the GTV and differentiate tumor from normal tissue. For other entities like gastrointestinal cancer, lymphomas, sarcomas, etc., the data of the literature are yet insufficient. The imaging of hypoxia, cell proliferation, angiogenesis, apoptosis and gene expression leads to the identification of different areas of a biologically heterogeneous tumor mass that can individually be targeted using intensity modulated radiotherapy (IMRT). In addition, a biological dose distribution can be generated, the socalled dose painting. However, systematic experimental and clinical trials are necessary to validate this hypothesis.	Regarding treatment planning in radiotherapy, PET offers advantages in terms of tumor delineation and the description of biological processes. To define the real impact of this investigation in radiation treatment planning, subsequent experimental, clinical and cost-benefit analyses are required.",,Non-systematic-review,1,0
21,11891506,Seminars in nephrology,Genetic and gender determinants of cerebrovascular disease.,"This article reviews genetic studies of stroke, bearing insight into human evidence by using studies on twins as well as on monogenic forms of stroke. Focus will be given to inbred animal models that have been used to improve genetic homogeneity and to control environmental influences. Such animal studies have lead to the identification of quantitative trait loci harboring putative genes for stroke susceptibility and sensitivity. The major strategies for gene identification are discussed. Experimental animal models of stroke have also revealed a sexual dimorphism in stroke susceptibility and sensitivity and this article reviews 2 possible candidates, namely, the Y chromosome and estrogens.",,Non-systematic-review,1,0
22,11043148,European journal of pediatrics,Survey of national guidelines for the treatment of phenylketonuria.,"Phenylketonuria treatment policies vary not only between different countries worldwide, but also within one country. Recommendations and guidelines for phenylketonuria should deal with the following subjects: 1. What is the target age to start dietary phenylalanine restriction under newborn-screening conditions? 2. At which plasma phenylalanine concentration should phenylalanine restriction be initiated? 3. Which are the recommended plasma phenylalanine concentrations at different ages? 4. What is the recommended frequency of monitoring phenylalanine in plasma? Statements from the following countries are presented: Czech Republic, Denmark, France, Germany, Great Britain, Hungary, Ireland, Poland, Slovakia and the United States.	Due to the lack of internationally accepted guidelines, management of phenylketonuria still varies between different countries. Our efforts should focus on the formulation of internationally acceptable and accepted recommendations for the treatment of patients with phenylketonuria at different ages.",,Non-systematic-review,1,0
23,33937180,Frontiers in public health,Understanding Panic Buying Through an Integrated Psychodynamic Lens.,"Previous literature has identified panic buying as often being a response to environmental stressors. In early 2020, we saw an increase in panic buying as a response to a real and/or perceived lack of resources due to COVID-19. Although panic buying has a long history, there is a lack of literature to provide a psychological understanding of the phenomenon. During the early days of COVID-19 clients presented with fear and uncertainty. These negative emotions were, in part, a response to a real shortage of basic supplies. However, the panic response led to behaviors that, for some individuals, resulted in atypical buying patterns. From a therapeutic perspective, one can consider behavioral and psychodynamic explanations and interventions, and how this impacts the associated behaviors. This article will focus on psychodynamic understandings of panic buying as a response to events that result in negative emotions. By providing a psychodynamic understanding of panic buying, authors hope to contribute to the therapy of clients presenting with related behaviors and their associated negative affect.",COVID-19| interventions| panic buying| psychodynamic| psychological understanding,Non-systematic-review,1,0
24,29046039,Journal of pediatric psychology,Topical Review: Transitional Services for Teens and Young Adults With Attention-Deficit Hyperactivity Disorder: A Process Map and Proposed Model to Overcoming Barriers to Care.,"To provide a topical review of the personal vulnerabilities and systemic barriers facing transitional age young adults with attention-deficit hyperactivity disorder (ADHD), followed by a proposed model for overcoming those barriers.	Drawing from a growing, but limited, literature on the topic, we outline a process map for identifying and troubleshooting barriers to care in this at-risk population.	Young adults with ADHD frequently lack the organizational skills, time management, prioritization, and persistence to manage their health care at an expected level of adult independence. These difficulties are compounded by a health-care system that has less time or fewer resources for supporting young adult patients.	Recommendations for easing the transition from pediatric to adult care for late adolescents with ADHD include heavily leveraging the doctor-patient relationship, and capturing the young adult's attention through technologies that already absorb them.",ADHD| adolescence| attention-deficit| transition| transitional services,Non-systematic-review,1,0
25,16268859,Journal of advanced nursing,Agitation in dementia: concept clarification.,"The aim of this paper is to clarify the concept of agitation in dementia through analysing definitions, critical attributes, components, boundaries, antecedents and consequences of agitation.	The concept of agitation is not well defined. In addition, there exists much confusion about the characteristics and boundaries of agitation, as well as the distinction between agitation and related concepts. Recently developed theoretical models for agitation in dementia require new interpretation and conceptualization of agitation.	Morse's method of critical appraisal of the literature was used. In addition, some parts of Rodgers' evolutionary method were employed. Data were selected using six electronic databases and the key words 'agitation', 'agitated', 'dementia', 'demented' and 'Alzheimer'. The analysis included 86 empirical or theoretical papers and one book.	A transition from the observer's perspective to the patient's perspective in the interpretation of agitation was found. Five critical attributes of agitation in dementia were identified: excessive, inappropriate, repetitive, non-specific and observable. Patient factors, interpersonal factors, environmental factors and restraint were identified as precipitating antecedents. Mediating antecedents included discomfort, unmet need and misinterpretation. Consequences of agitation were identified at the levels of patient, caregiver and others.	This transition in perspectives has important implications as it can change health providers' attitudes and responses to agitation and lead to patient-focused and individualized care. Researchers and clinicians are encouraged to avoid labelling agitated behaviour as 'disturbing behaviour'.",,Non-systematic-review,1,0
26,26536212,Current opinion in obstetrics & gynecology,The use of pulsed CO2 lasers for the treatment of vulvovaginal atrophy.,"This article reviews the literature regarding the safety and efficacy of the use of a pulsed CO2 laser for the treatment of vulvovaginal atrophy (VVA).	Prospective observational studies have demonstrated histological changes after the use of pulsed CO2 laser vaginally in atrophic conditions. Increased collagen and extracellular matrix production has been reported together with an increase in the thickness of the vaginal epithelium with the formation of new papilla. Three different observational studies reported a significant improvement of VVA assessed subjectively (with a 10-point visual analogue scale) and objectively (using the Vaginal Health Index) after a cycle of three treatments of pulsed CO2 laser. Also sexual function (assessed with the Female Sexual Function Index) and quality of life (evaluated with the SF12 questionnaire) significantly improved. No complications or side-effects were reported during or after the laser procedure that was performed in an outpatient setting.	Increasing evidence with histological and clinical data supports the use of pulsed CO2 lasers in the treatment of VVA; however, no randomized control trial (sham versus treatment) has yet been produced and no data on the duration of therapy are currently available.",,Non-systematic-review,1,0
27,31196824,Epilepsy & behavior : E&B,Social cognition and psychopathology in childhood and adolescence,"There is a substantial body of research on social cognition in adults with epilepsy, and in broad categories such as focal and generalized epilepsies, but much less has been written about social cognition in children with epilepsy (CWE), and in childhood-onset epilepsy syndromes specifically. In several of these syndromes, autism spectrum disorder (ASD) and attention-deficit hyperactivity disorder (ADHD), two disorders with social cognitive impairments, are reported. There is strong evidence for social cognitive deficits in juvenile myoclonic epilepsy (JME). There is also a considerable amount of evidence for such deficits in a number of syndromes that may be associated with ASD or ADHD, including West syndrome (WS), Dravet syndrome (DS), and the Landau-Kleffner syndrome (LKS). However, the evidence is of variable quality and incomplete across the range of childhood epilepsy syndromes. In some syndromes, childhood epilepsy substantially increases the risk of severe social cognitive impairment, which may persist after the seizures remit. This paper presents an overview of current research on social cognition in childhood epilepsy, with a particular focus on syndromes with a high prevalence of autistic and behavioral comorbidities. Social cognitive impairments represent a considerable additional challenge for patients and caregivers. Early diagnosis and intervention might significantly improve long-term social cognitive outcomes, highlighting the need for greater awareness among clinicians of this important topic. This article is part of the Special Issue ""Epilepsy and social cognition across the lifespan"".",Attention-deficit/hyperactivity disorder| Autism spectrum disorder| Childhood epilepsy| Dravet syndrome| Social cognition| West syndrome,Non-systematic-review,1,0
28,21180303,Indian heart journal,Safety and tolerability of beta-blockers: prejudices & reality.,"Beta-blockers (BB) substantially improve survival in chronic heart failure and after myocardial infarction. However, concern about side-effects may deter clinicians from prescribing these life-saving drugs. In reality, absolute contraindications are rare. Only 3-5% of patients are intolerant because of hypotension or bradycardia. Data from randomized controlled trials and retrospective studies show that most patients eligible to receive BB tolerate them well. BB are not contraindicated in chronic obstructive pulmonary disease (COPD); in fact, these patients also benefit because of their high cardiovascular risk. In patients with COPD, as in the elderly, BB should be started at a low dose and uptitrated slowly. Monitoring of lung function during initiation is important, as undiagnosed coexistent asthma could be revealed. When patients are unaware of the drug in use, erectile dysfunction (ED) is reported no more often with BB than with any other drug prescribed for heart failure or hypertension. However, when patients are aware of the potential side-effects of BB, the resultant anxiety may cause ED. Patients should be reassured that BB prolong life and in the great majority are not the cause of ED, which may rather be related to the underlying disease (diabetes, hypertension, and atherosclerosis).",,Non-systematic-review,1,0
29,16401854,Neurology,Cardiac encephalopathy and congestive heart failure: a hypothesis about the relationship,"Many patients with congestive heart failure develop neurologic dysfunction. This may take the form of a cardiac encephalopathy that shares clinical features with other metabolic encephalopathies. The causes are multiple. There is a particular, previously unreported, syndrome that occasionally develops in some patients with congestive heart failure that resembles the findings in patients with normal pressure hydrocephalus. This syndrome is characterized by apathy and abulia with preserved alertness; it is caused by fluid retention within the cranial cavity. The syndrome may also develop in patients with other conditions that cause anasarca, e.g., severe liver or kidney disease or hypoalbuminemia. Because patients with these conditions are often quite ill, it has been difficult to verify the pathophysiologic aspects of the syndrome so that its mechanism must remain a hypothesis that awaits more definitive study in a series of patients. I have not seen this syndrome discussed in any cardiology or neurology texts or reports, and it seems to be completely unknown to cardiologists and neurologists. I have recognized about one patient per year with this syndrome.",,Non-systematic-review,1,0
30,6750570,The Psychiatric clinics of North America,Enuresis and encopresis.,"Enuresis and encopresis must be seen as symptoms, not diseases, occurring in heterogeneous groups of children. A number of known factors are etiologically relevant to each symptom, and it is likely that others remain to be discovered. Both enuresis and encopresis are truly psychosomatic entities, in which psychosocial and physiologic elements act and react with one another in the development and maintenance of the problem. Further research, emphasizing concurrent psychological and biologic evaluation, is needed to answer the many still remaining questions about the etiology, natural course, and treatment of these common childhood symptoms. Psychiatrists should be available as consultants to colleagues in primary care during the evaluation of enuretic and encopretic children and should be ready to treat a subgroup of symptomatic children who have identifiable psychopathology.",,Non-systematic-review,1,0
