,idx,pmid,journal_name,title,abstract,accepted_label,multi_label,binary_label
92,93,rayyan-1277751902,Int J Aging Hum Dev,Prognostic factors of effectiveness of a support program for caregivers of dementia patients,"In a randomized controlled study, positive effects were found of a support program for caregivers of dementia patients. The aim of this study is to identify in a secondary analysis the prognostic factors of success of the support program by comparing characteristics of patients and primary caregivers for whom the support program was effective with those for whom the program was not effective (n = 49 pairs of patients and caregivers). The theoretically based individualized support program which is presented in this article, was most effective with regard to primary caregivers' sense of competence for females sharing a household with the dementia patient. The program was most effective in reducing the number of patient admissions when patients did not receive support from a district nurse and the primary caregivers experienced less emotional support from the informal network. A proactive approach by offering this flexible support before caregivers ask for support may prolong the stage in which they feel able to care for patients at home. Offering this support to females, who usually are supposed to care for the patient without assistance, may be both effective and efficient.",Human-RCT-non-drug-intervention,9,0
265,266,rayyan-1270414133,Cell Signal,Homer1 knockdown protects dopamine neurons through regulating calcium homeostasis in an in vitro model of Parkinson's disease,"Homer1 protein is an important scaffold protein at postsynaptic density and has been demonstrated to play a central role in calcium signaling in the central nervous system. The aim of this study was to investigate the effects of Homer1 knockdown on MPP(+) induced neuronal injury in cultured dopamine (DA) neurons. We found that down-regulating Homer1 expression with specific small interfering RNA (siRNA) significantly suppressed LDH release, reduced Propidium iodide (PI) or Hoechst staining, increased the number of tyrosine hydroxylase (TH) positive cells and DA uptake, and attenuated apoptotic and necrotic cell death after MPP(+) injury. Homer1 knockdown decreased intracellular reactive oxygen species (ROS) generation through inhibition of intracellular calcium overload, but did not affect the endogenous antioxidant enzyme activities. Calcium imaging was used to examine the changes of intracellular Ca(2+) concentration ([Ca(2+)]cyt) and Ca(2+) in endoplasmic reticulum (ER) ([Ca(2+)]ER), and the results showed that Homer1 siRNA transfection attenuated ER Ca(2+) release up to 120min after MPP(+) injury. Furthermore, decrease of [Ca(2+)]cyt induced by Homer1 knockdown in MPP(+) treated neurons was further enhanced by NMDA receptor antagonists MK-801 and AP-5, but not canonical transient receptor potential (TRPC) channel antagonist SKF-96365. l-type calcium antagonist isradipine but not nimodipine further inhibited intracellular calcium overload after MPP(+) insult in Homer1 down-regulated neurons. These results suggest that Homer1 knockdown has protective effects against neuronal injury in in vitro PD model by reducing calcium overload mediated ROS generation, and this protection may be dependent at least in part on the regulatory effects on the function of calcium channels in both plasma membrane and ER.",In-vitro-study,8,0
269,270,rayyan-1270417275,J Cancer Res Clin Oncol,Selective induction of rapid cytotoxic effect in glioblastoma cells by oscillating magnetic fields,"PURPOSE: The mechanisms underlying anticancer effects of electromagnetic fields are poorly understood. An alternating electric field-generating therapeutic device called Optune™ device has been approved for the treatment of glioblastoma (GBM). We have developed a new device that generates oscillating magnetic fields (OMF) by rapid rotation of strong permanent magnets in specially designed patterns of frequency and timing and have used it to treat an end-stage recurrent GBM patient under an expanded access/compassionate use treatment protocol. Here, we ask whether OMF causes selective cytotoxic effects in GBM and whether it is through generation of reactive oxygen species (ROS). METHODS: We stimulated patient derived GBM cells, lung cancer cells, normal human cortical neurons, astrocytes, and bronchial epithelial cells using OMF generators (oncoscillators) of our Oncomagnetic Device and compared the results to those obtained under unstimulated or sham-stimulated control conditions. Quantitative fluorescence microscopy was used to assess cell morphology, viability, and ROS production mechanisms. RESULTS: We find that OMF induces highly selective cell death of patient derived GBM cells associated with activation of caspase 3, while leaving normal tissue cells undamaged. The cytotoxic effect of OMF is also seen in pulmonary cancer cells. The underlying mechanism is a marked increase in ROS in the mitochondria, possibly in part through perturbation of the electron flow in the respiratory chain. CONCLUSION: Rotating magnetic fields produced by a new noninvasive device selectively kill cultured human glioblastoma and non-small cell lung cancer cells by raising intracellular reactive oxygen species, but not normal human tissue cells.",In-vitro-study,8,0
270,271,rayyan-1270415501,J Virol Methods,A simple method for isolation of cell-associated viral particles from cell culture,"A common method for cell-associated virus isolation involves disruption of infected cells by a combination of hypotonic burst, freeze-thaw cycles (F-T) and sonication. This protocol was also originally used for the preparation of cell-free extract containing the MX strain of lymphocytic choriomeningitis virus (LCMV), which is preferentially propagated by cell-to-cell contact and does not release distinct virions into the medium. In the present study, we compared different approaches to virus isolation. Based on virus yield, we show that deionized water lysis is the fastest and most effective method for releasing LCMV MX infectious viral particles from persistently infected cells. Moreover, we demonstrate that freeze-thaw cycles and sonication do not improve virus isolation. This simple protocol could be used for isolation of other viruses, the life cycle of which is strictly cell-associated and therefore are difficult to release in large amounts from host cells.",In-vitro-study,8,0
272,273,rayyan-1270415206,Exp Biol Med (Maywood),Penetration and intracellular uptake of poly(glycerol-adipate) nanoparticles into three-dimensional brain tumour cell culture models,"Nanoparticle (NP) drug delivery systems may potentially enhance the efficacy of therapeutic agents. It is difficult to characterize many important properties of NPs in vivo and therefore attempts have been made to use realistic in vitro multicellular spheroids instead. In this paper, we have evaluated poly(glycerol-adipate) (PGA) NPs as a potential drug carrier for local brain cancer therapy. Various three-dimensional (3-D) cell culture models have been used to investigate the delivery properties of PGA NPs. Tumour cells in 3-D culture showed a much higher level of endocytic uptake of NPs than a mixed normal neonatal brain cell population. Differences in endocytic uptake of NPs in 2-D and 3-D models strongly suggest that it is very important to use in vitro 3-D cell culture models for evaluating this parameter. Tumour penetration of NPs is another important parameter which could be studied in 3-D cell models. The penetration of PGA NPs through 3-D cell culture varied between models, which will therefore require further study to develop useful and realistic in vitro models. Further use of 3-D cell culture models will be of benefit in the future development of new drug delivery systems, particularly for brain cancers which are more difficult to study in vivo.",In-vitro-study,8,0
274,275,rayyan-1270414085,Brain Res,Expression of CD200 in alternative activation of microglia following an excitotoxic lesion in the mouse hippocampus,"CD200 is a glycoprotein that is expressed on the surfaces of neurons and other cells. It interacts with its receptor, CD200R, which is expressed on cells of the myeloid lineage, including microglia. The interaction of CD200 with its receptor plays a significant role in maintaining microglia in a quiescent state; thus, a decrease in CD200 expression in the brain is associated with evidence of microglial activation. However, their roles in pathological progression remain unclear. We examined the expression of CD200 in kainic acid (KA)-induced neurodegeneration of the mouse hippocampus. Our quantitative analysis revealed that CD200 was constitutively expressed in the normal brain and transiently upregulated by KA treatment. At the cellular level, CD200 was expressed in neurons in control, and was upregulated primarily in the microglia of KA-treated mouse hippocampi. We examined the contribution of CD200 to both the classical and alternative activation of microglia in vitro using an adult microglia culture, which was exposed to interleukin-4 (IL-4) with and without lipopolysaccharide (LPS). CD200 expression was increased after exposure to IL-4, but not to LPS. These in vivo experiments demonstrated that CD200 was transiently expressed in microglia in a process mediated by the inflammatory response. Based on CD200R expression in microglia, it suggests that microglia is maintained in an activated state with autocrine signaling by interactions between microglial CD200 and its CD200R. Moreover, we suggest that CD200 may be expressed in the alternative activation of microglia and play a beneficial role in neuroinflammation.",In-vitro-study,8,0
278,279,rayyan-1270413921,Med Chem,Cytotoxic effects of chemotherapeutic drugs and heterocyclic compounds at application on the cells of primary culture of neuroepithelium tumors,"Neuroepithelial tumor cells were cultured in vitro. The biopsy material was taken from 93 children at removal of the brain tumors during neurosurgical operations. The individual features of the cells sensitivity of primary cultures in respect to protocol-approved chemotherapy drugs and changes in the Interleukin-6 (Il-6) level in the culture medium after the application of chemotherapy were established. The initial level of Il-6 exceeded 600.0 pg/ml in the cultural medium with histologically verified pilomyxoid astrocytoma cells, and ranged from 100.0 to 200.0 pg/ml in the medium at cultivation of ganglioneuroblastoma and pilocytic astrocytoma. A decrease in the Il-6 level in the medium culture of primary tumors cells was observed after the application of chemotherapeutic agents on the cells of pilomyxoid astrocytoma, astrocytomas, and pilocytic desmoplastic/nodular medulloblastoma. The production of Il-6 increased after application of cytostatic drugs on the cells of oligoastrocytomas. A decrease in Il-6 level after application of Cisplatin and Methotrexate and a 5-10 fold increase in the level of Il-6 after application of Etoposide, Carboplatin, Cytarabine, and Gemcitabine were registered in the medium with ganglioneuroblastoma. To improve the cytotoxic action of chemotherapeutic agents, the combined application of cytostatics with heterocyclic compounds was carried out. A computer modeling of ligand-protein complexes of carbamide using the Dock 6.4 and USF Chimera program packages was performed with molecular mechanics method. Special attention was drawn to the ability of several isoxazole heterocycles and isothiazolyl to inhibit the tyrosine kinase. It was proved in vitro that the joint application of chemotherapeutic agents and heterocyclic compounds could reduce the concentration of the cytostatic factor by 10 or more times, having maintained the maximum cytotoxic effect. It was assumed that the target amplification of cytotoxic action of chemotherapeutic agents had prospects for reducing toxic side effects of chemotherapy in vivo, which would be carried out only after the preclinical studies.",In-vitro-study,8,0
281,282,rayyan-1270414308,Toxicol Sci,L-BMAA induced ER stress and enhanced caspase 12 cleavage in human neuroblastoma SH-SY5Y cells at low nonexcitotoxic concentrations,"The cyanobacterial β-N-methylamino-L-alanine (L-BMAA) is described as a low-potency excitotoxin, possibly a factor in the increased incidence of amyotrophic lateral sclerosis (ALS) and Parkinsonism-dementia complex (PDC) in Guam. The latter association is intensively disputed, as L-BMAA concentrations required for toxic effects exceed those assumed to occur via food. The question thus was raised whether L-BMAA leads to neurodegeneration at nonexcitotoxic conditions. Using human SH-SY5Y neuroblastoma cells, L-BMAA-transport, incorporation into proteins, and subsequent impairment of cellular protein homeostasis were investigated. Binding of L-BMAA to intracellular proteins, but no clear protein incorporation was detected in response to (14)C-L-BMAA exposures. Nevertheless, low L-BMAA concentrations (≥ 0.1mM, 48 h) increased protein ubiquitination, 20S proteasomal and caspase 12 activity, expression of the endoplasmic reticulum (ER) stress marker CHOP, and enhanced phosphorylation of elf2α in SH-SY5Y cells. In contrast, high L-BMAA concentrations (≥ 1mM, 48 h) increased reactive oxygen species and protein oxidization, which were partially ameliorated by coincubation with vitamin E. L-BMAA-mediated cytotoxicity was observable 48 h following ≥ 2mM L-BMAA treatment. Consequently, the data presented here suggest that low L-BMAA concentrations result in a dysregulation of the cellular protein homeostasis with ensuing ER stress that is independent from high-concentration effects such as excitotoxicity and oxidative stress. Thus, the latter could be a contributing factor in the onset and slow progression of ALS/PDC in Guam.",In-vitro-study,8,0
496,497,rayyan-1277756067,Neurology,Naltrexone for impulse control disorders in Parkinson disease: a placebo-controlled study,"OBJECTIVE: Impulse control disorders (ICDs) in Parkinson disease (PD) are common and can be difficult to manage. The objective of this study was to determine the efficacy and tolerability of naltrexone, an opioid antagonist, for the treatment of ICDs in PD. METHODS: Patients with PD (n = 50) and an ICD were enrolled in an 8-week, randomized (1:1), double-blind, placebo-controlled study of naltrexone 50-100 mg/d (flexible dosing). The primary outcome measure was response based on the Clinical Global Impression-Change score, and the secondary outcome measure was change in symptom severity using the Questionnaire for Impulsive-Compulsive Disorders in Parkinson's Disease-Rating Scale (QUIP-RS) ICD score. RESULTS: Forty-five patients (90%) completed the study. The Clinical Global Impression-Change response rate difference favoring naltrexone in completers was 19.8% (95% confidence interval [CI] -8.7% to 44.2%). While this difference was not significant (odds ratio=1.6, 95% CI 0.5-5.2, Wald χ2 [df]=0.5 [1], p=0.5), naltrexone treatment led to a significantly greater decrease in QUIP-RS ICD score over time compared with placebo (regression coefficient for interaction term in linear mixed-effects model=-7.37, F[df]=4.3 [1, 49], p=0.04). The estimated changes in QUIP-RS ICD scores from baseline to week 8 were 14.9 points (95% CI 9.9-19.9) for naltrexone and 7.5 points (95% CI 2.5-12.6) for placebo. CONCLUSIONS: Naltrexone treatment was not efficacious for the treatment of ICDs in PD using a global assessment of response, but findings using a PD-specific ICD rating scale support further evaluation of opioid antagonists for the treatment of ICD symptoms in PD. CLASSIFICATION OF EVIDENCE: This study provides Class I evidence that in patients with PD and an ICD, naltrexone does not significantly increase the probability of achieving response. However, the study lacked the precision to exclude an important difference in response rates.",Human-RCT-drug-intervention,11,0
498,499,rayyan-1277751885,Arch Gen Psychiatry,"Olanzapine treatment of psychotic and behavioral symptoms in patients with Alzheimer disease in nursing care facilities: a double-blind, randomized, placebo-controlled trial. The HGEU Study Group","BACKGROUND: Patients with Alzheimer disease (AD) commonly exhibit psychosis and behavioral disturbances that impair patient functioning, create caregiver distress, and lead to institutionalization. This study was conducted to assess the efficacy and safety of olanzapine in treating psychosis and/or agitation/aggression in patients with AD. METHODS: A multicenter, double-blind, placebo-controlled, 6-week study was conducted in 206 elderly US nursing home residents with AD who exhibited psychotic and/or behavioral symptoms. Patients were randomly assigned to placebo or a fixed dose of 5, 10, or 15 mg/d of olanzapine. The primary efficacy measure was the sum of the Agitation/Aggression, Hallucinations, and Delusions items (Core Total) of the Neuropsychiatric Inventory-Nursing Home version. RESULTS: Low-dose olanzapine (5 and 10 mg/d) produced significant improvement compared with placebo on the Core Total (-7.6 vs -3.7 [P<.001] and -6.1 vs -3. 7 [P =.006], respectively). Core Total improvement with olanzapine, 15 mg/d, was not significantly greater than placebo. The Occupational Disruptiveness score, reflecting the impact of patients' psychosis and behavioral disturbances on the caregiver, was significantly reduced in the 5-mg/d olanzapine group compared with placebo (-2.7 vs -1.5; P =.008). Somnolence was significantly more common among patients receiving olanzapine (25.0%-35.8%), and gait disturbance occurred in those receiving 5 or 15 mg/d (19.6% and 17.0%, respectively). No significant cognitive impairment, increase in extrapyramidal symptoms, or central anticholinergic effects were found at any olanzapine dose relative to placebo. CONCLUSION: Low-dose olanzapine (5 and 10 mg/d) was significantly superior to placebo and well tolerated in treating agitation/aggression and psychosis in this population of patients with AD.",Human-RCT-drug-intervention,11,0
502,503,rayyan-1277755960,Acta Neuropsychiatr,Tolerability and efficacy of the monoaminergic stabilizer (-)-OSU6162 (PNU-96391A) in Huntington's disease: a double-blind cross-over study,"OBJECTIVE: To evaluate the safety (primary objective) and efficacy (secondary objective) of (-)-OSU6162 in Huntington's disease (HD). METHODS: In a double-blind, cross-over trial, patients with HD were randomly assigned to start treatment on either (-)-OSU6162 or placebo. After 4 weeks, those patients who initially received active drug were switched to placebo for another 4 weeks, and vice versa. During the first week the (-)-OSU6162 dose was 15 mg twice daily, during the second week 30 mg twice daily, and during the last 2 weeks 45 mg twice daily. Motor, cognitive, mental and social functions were rated by the clinical investigator or by self-assessment, using established rating scales. RESULTS: Fifteen patients fulfilling inclusion and exclusion criteria completed the study. (-)-OSU6162 was well tolerated by all patients and no adverse effects were observed. (-)-OSU6162 treatment significantly improved the Short Form 36 Vitality score, mainly due to an improvement of the individual item 'worn-out' (VT3). In addition, an improvement of depressive symptoms was found using Beck Depression Inventory. In contrast to a general trend of improvement in several non-motor variables only small and non-significant differences between (-)-OSU6162 and placebo were found regarding motor functions. CONCLUSIONS: (-)-OSU6162 offers promise for the treatment of HD, as a drug with good tolerability, capable of improving the patients' experienced non-motor functions such as energy and mood and thus alleviating symptoms of great importance for their quality of life.",Human-RCT-drug-intervention,11,0
